,BaseSpirit,FoodName,RowNum
1,Absinthe,caviar,32.0
2,Absinthe,crepe,3.0
3,Amaretto,chocolate,197.0
4,Amaretto,pastry,59.0
5,Amaretto,pancake,29.0
6,Amaretto,fondant,12.0
7,Amaretto,pizza,12.0
8,Amaretto,pasta,8.0
9,Amaretto,biscotti,7.0
10,Amaretto,biscuit,7.0
11,Amaretto,bread,6.0
12,Amaretto,cookie,5.0
13,Amaretto,yoghurt,4.0
14,Amaretto,muffin,3.0
15,Amaretto,nut,3.0
16,Amaretto,pudding,3.0
17,Amaretto,salad,3.0
18,Amaretto,tart,3.0
19,Amaretto,jelly,2.0
20,AmericanWhiskey,meat,4.0
21,AmericanWhiskey,kimchi,3.0
22,AmericanWhiskey,mash,2.0
23,AperitifWine,bread,7.0
24,AperitifWine,chocolate,4.0
25,Armagnac,cassoulet,4.0
26,Armagnac,paella,3.0
27,Armagnac,sushi,3.0
28,Beer,pizza,24.0
29,Beer,meat,8.0
30,Beer,cookie,4.0
31,Beer,guacamole,4.0
32,Beer,icing,4.0
33,Beer,nachos,4.0
34,Beer,poutine,4.0
35,Beer,shrimp,4.0
36,Beer,sushi,4.0
37,Beer,bread,3.0
38,Beer,pasta,3.0
39,Beer,pastry,3.0
40,Beer,pie,3.0
41,Beer,coleslaw,2.0
42,Beer,enchilada,1.0
44,Bourbon,chocolate,75.0
45,Bourbon,pizza,24.0
46,Bourbon,pasta,20.0
47,Bourbon,pastry,12.0
48,Bourbon,ramen,8.0
49,Bourbon,sushi,8.0
50,Bourbon,jam,7.0
51,Bourbon,biscuit,4.0
52,Bourbon,curry,4.0
53,Bourbon,jerky,4.0
54,Bourbon,mash,4.0
55,Bourbon,meat,4.0
56,Bourbon,omelette,4.0
57,Bourbon,pretzel,4.0
58,Bourbon,shawarma,4.0
59,Bourbon,tofu,4.0
60,Bourbon,adobo,3.0
61,Bourbon,marinade,3.0
62,Bourbon,salad,3.0
63,Brandy,chocolate,11.0
64,Brandy,biscuit,4.0
65,Brandy,pastry,4.0
66,Brandy,adidas,3.0
67,Champagne,pastry,10.0
68,Champagne,adidas,7.0
69,Champagne,chocolate,4.0
70,Champagne,sushi,4.0
71,Champagne,pizza,3.0
72,Champagne,salad,3.0
73,Cognac,chocolate,5.0
74,Cognac,pasta,5.0
75,Cognac,paella,4.0
76,Cognac,pastry,4.0
77,Cognac,sushi,4.0
78,Cognac,parmigiana,2.0
79,Cognac,tartare,2.0
80,Gin,falafel,8.0
81,Gin,hummus,8.0
82,Gin,tapas,5.0
83,Gin,pizza,4.0
84,Gin,salad,4.0
85,Gin,superfood,4.0
86,Gin,tofu,4.0
87,IrishWhiskey,chocolate,4.0
88,IrishWhiskey,pizza,4.0
89,IrishWhiskey,marmalade,3.0
90,Liqueurs,chocolate,1.0
91,Pisco,pasta,3.0
92,Pisco,spaghetti,3.0
93,RhumAgricole,chocolate,3.0
94,RhumAgricole,palmier,3.0
95,RhumAgricole,pastry,5.0
96,RhumAgricole,syrup,4.0
97,Rum,chocolate,60.0
98,Rum,dhokla,3.0
99,Rum,farina,5.0
100,Rum,jelly,4.0
101,Rum,palmier,4.0
102,Rum,pastry,11.0
103,Rum,pizza,11.0
104,Rum,roti,3.0
106,Rum,syrup,3.0
107,Rum,teppanyaki,7.0
108,Scotch,carnitas,3.0
109,Scotch,chocolate,12.0
110,Scotch,escargot,4.0
112,Scotch,pasta,3.0
113,Scotch,ramen,8.0
114,Scotch,sushi,57.0
115,SparklingWine,bread,4.0
116,SparklingWine,chocolate,4.0
117,SparklingWine,meat,4.0
118,SparklingWine,muffin,4.0
119,SparklingWine,parmigiana,4.0
120,SparklingWine,pasta,4.0
121,SparklingWine,pizza,4.0
122,SparklingWine,risotto,4.0
124,SparklingWine,salad,4.0
125,SparklingWine,sushi,5.0
126,Tequila,guacamole,29.0
127,Tequila,nachos,18.0
128,Tequila,pasta,3.0
129,Vermouth,chocolate,6.0
130,Vermouth,hummus,3.0
131,Vermouth,meze,3.0
132,Vermouth,paella,7.0
133,Vermouth,pasta,7.0
134,Vermouth,pizza,16.0
135,Vermouth,porcini,3.0
136,Vermouth,produce,3.0
137,Vermouth,risotto,3.0
139,Vermouth,sushi,4.0
140,Vermouth,syrup,3.0
141,Vermouth,tapas,205.0
142,Vermouth,tortilla,3.0
144,Vodka,adidas,4.0
145,Vodka,biscuit,5.0
146,Vodka,chocolate,8.0
147,Vodka,curry,4.0
148,Vodka,falafel,4.0
149,Vodka,nachos,4.0
150,Vodka,pasta,4.0
151,Vodka,pizza,8.0
152,Whiskey,chocolate,10.0
153,Whiskey,grit,40.0
154,Whiskey,pasta,8.0
155,Whiskey,pizza,2.0
156,Whiskey,ramen,3.0
157,Whiskey,sushi,50.0
158,Whiskey,syrup,4.0
