,CocktailName,FoodName,RowNum
1,Ascot,chocolate,6
2,Ascot,hummus,10
3,Ascot,karaage,4
4,Ascot,meze,10
5,Ascot,pancake,3
6,Ascot,ramen,8
7,BloodyMaria,chilaquiles,6
8,BloodyMaria,guacamole,10
9,BloodyMaria,omelette,4
10,BloodyMaria,pizza,3
11,BloodyMaria,shrimp,5
12,BourbonOldFashioned,caviar,3
13,BourbonOldFashioned,sriracha,1
14,BourbonOldFashioned,waffle,4
15,BourbonRootBeer,pilaf,1
16,Bramble,bread,10
17,Bramble,chestnut,29
18,Bramble,jelly,5
19,Bramble,pasta,3
20,Bramble,pastry,76
21,Bramble,pie,3
22,ChampagneCocktail,caviar,3
23,ChampagneCocktail,marmalade,6
24,ChampagneCocktail,sushi,3
25,ChristmasPunch,stollen,1
26,CloverClub,chocolate,7
27,CloverClub,dumpling,4
28,CloverClub,jam,3
29,CloverClub,meat,8
30,CloverClub,pizza,100
31,CloverClub,pretzel,5
32,CloverClub,syrup,14
33,CloverClub,tapas,4
34,CobrasFang,syrup,3
35,Cosmopolitan,adidas,1
36,Daiquiri,chocolate,3
37,Daiquiri,coleslaw,10
38,Daiquiri,guacamole,4
39,Daiquiri,paella,3
40,Daiquiri,pancake,4
41,Daiquiri,pasta,3
42,Daiquiri,pizza,7
43,Daiquiri,syrup,3
44,Daiquiri,tapas,3
45,DarknStormy,caviar,4
46,DarknStormy,jambalaya,33
47,DarknStormy,salad,6
48,DarknStormy,tapas,6
49,DevilsMargarita,nachos,3
50,DevilsMargarita,pizza,6
51,DevilsMargarita,tart,4
52,DirtyMartini,chocolate,3
53,DirtyMartini,kimchi,3
54,DirtyMartini,salad,9
55,DirtyMartini,tapas,3
56,DryMartini,caviar,4
57,EasterBunnyShot,chocolate,2
58,Eggnog,pancake,3
59,Eggnog,pie,3
60,French75,caviar,2
61,French75,chocolate,6
62,French75,jambalaya,6
63,French75,shrimp,3
64,FrenchMartini,chocolate,4
65,FrenchMartini,dauphinoise,4
66,FrenchMartini,mash,5
67,FrenchMartini,meat,4
68,FrenchMartini,pasta,4
69,FrenchMartini,pizza,3
70,FrenchMartini,sushi,5
71,FrenchMartini,waffle,3
72,FrenchMartini,yoghurt,3
73,FrozenSangria,guacamole,10
74,FrozenSangria,nachos,5
75,FrozenSangria,paella,1
76,FrozenSangria,pizza,8
77,Gibson,adidas,7
78,Gibson,nut,6
79,Gimlet,pizza,3
80,GinFizz,jambalaya,3
81,GinFizz,pancake,3
82,GinFizz,sushi,6
83,GinFizz,tapas,1
84,GreenBeast,naruto,3
85,GreenMargarita,pizza,5
86,GreenMargarita,quesadilla,1
87,Greyhound,noodle,3
88,HemingwayDaiquiri,caviar,4
89,HemingwayDaiquiri,johnnycake,3
90,HemingwayDaiquiri,pasta,33
91,HemingwayDaiquiri,poke,3
92,HemingwayDaiquiri,risotto,3
94,HolidayHooch,jerky,2
95,HolidayHooch,muffin,3
96,HotButteredRum,chocolate,3
97,HotButteredRum,crepe,3
98,HotButteredRum,pavlova,3
99,HotToddy,chocolate,25
100,HotToddy,dumpling,4
101,HotToddy,jam,4
102,HotToddy,meat,4
103,HotToddy,pasta,3
104,HotToddy,pastry,3
105,HotToddy,pie,3
106,HotToddy,pizza,7
107,HotToddy,tortilla,4
109,Hurricane,bread,3
110,Hurricane,chocolate,3
111,IrishCoffee,chocolate,12
112,IrishCoffee,grits,2
113,IrishCoffee,noodle,3
114,IrishCoffee,pastry,3
115,IrishCoffee,quesadilla,3
116,IrishCoffee,salad,3
117,IrishCoffee,spaghetti,3
118,IrishCoffee,sushi,3
119,IrishCoffee,waffle,3
120,Kamikaze,adidas,3
121,Kamikaze,caviar,3
122,KirRoyale,chocolate,9
123,KirRoyale,salad,3
124,KirRoyale,shrimp,3
125,LemonDrop,biscuit,3
126,LemonDrop,chili,13
127,LemonDrop,cookie,3
128,LemonDrop,jelly,4
129,LemonDrop,nachos,2
130,LemonDrop,pastry,3
131,LemonDrop,sushi,1
