,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,nicole_irene_potes,bloodymaria,traditionaltattoo,bloodymary,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,livinlalilialopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,brokenenglishtacopub,bloodymaria,chicagofooddude,chicagobrunch,chicagobars,chicago,mychicagopix,lincolnpark,chigram,eaterchicago,chicagofood,olympics,igerschicago,brunch,sokophoto,devourpower,oldtown,chicagofoodauthority,huffposttaste,312food,alwayshungrychi,foodphotography,todayfood,,,,,,,,
3,localemagazine,drinksandiego,cbad,vista,sanclemente,northcountysd,craftcocktails,happyhour,carlsbad,encinitas,drinkspecials,chumoy,oside,tequila,bloodymaria,carlsbadvillage,bloodymary,anchoreyes,northcounty,ig,sdhappyhour,southo,tacotuesday,,,,,,,,
4,saulr,white,whiterussian,roseallday,carajillos,res,yestoall,bloodymaria,sake,,,,,,,,,,,,,,,,,,,,,,
5,loveintequila,family,tequilagirl,agave,tequila,agavesquad,workhardplayharder,bloodymaria,loveintequila,sundayfunday,,,,,,,,,,,,,,,,,,,,,
6,blackboweventsnm,bloodymaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,michoandmary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,reyesmezcaleria,wheresmymimosa,reyesmezcaleria,orlando,northquarter,bloodymaria,brunchgamestrong,mezcaleria,orlandobrunch,,,,,,,,,,,,,,,,,,,,,,
9,patiobeverages,vegan,yum,cocktail,patio,noalcohol,juice,veggie,drinks,virginmary,vitaminc,local,wholesome,bloodymaria,nourishing,mixer,smallbatch,bloodymary,justshakepourandrelax,nonalcoholic,drinksathome,,,,,,,,,,
10,billboardbobbyg,bloodymaria,tequila,southshoredrinks,billboardbobbyg,kennyobryansbar,eastbridgewater,,,,,,,,,,,,,,,,,,,,,,,,
11,bloodygerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tequilacorcel,bloodymaria,maria,chicoca,tequilacorcel,canyonoakscountryclub,bloody,,,,,,,,,,,,,,,,,,,,,,,,
13,taoshum,taostaproom,hotsauceforeveeyone,madeinnewmexico,taoshum,taoshumhotsauce,taoshummakeitstop,bloodymaria,,,,,,,,,,,,,,,,,,,,,,,
14,mix38chavelas on Ins,bloodymaria,beermix,tds,bloodymary,chavelas,tierradelsol,micheladas,mix38chavelas,tds2020,mix38,beer,redbeer,,,,,,,,,,,,,,,,,,
15,mix38chavelas on Ins,mixeddrinks,mix38chavelas,bloodymary,beer,refreshing,micheladas,bloodymaria,chavelas,mix38,,,,,,,,,,,,,,,,,,,,,
16,bedford234,10506,handcutfries,bloodymaria,914,chickensandwich,bedfordny,seeyallsoon,loveyalater,spicy,brunch,,,,,,,,,,,,,,,,,,,,
17,scottiesontheriver,fattuesday,fattuesdays,chattanoogatennessee,chattanoogadrinkscene,margaritas,piedraazul,tequilashots,lunazul,tequila,tequilasunrise,mule,noogatoday,bloodymarias,chattanoogasips,margarita,chattanoogatn,chattanooga,chattanoogadrinks,tequilatuesday,tequilamule,bloodymaria,,,,,,,,,
18,splashmixers,mardiparty,cocktails,daydrink,bloodymary,daydrinking,mardigras,mocktails,healthydrinks,neworleans,mardigras2020,refreshing,hairofthedog,bloodymaria,,,,,,,,,,,,,,,,,
19,tequilacasazul,cocktails,casazul,tequilasilver,tequilajalisco,tequilatequila,mixeddrinks,tequilacocktails,tequilatime,tequilacocktail,tequilalove,mondayvibes,finetequila,tequiladrinks,mondaymood,tequilalover,tequila,tequilalovers,bloodymary,bloodymaria,,,,,,,,,,,
20,greeneyedbella7,refineryrooftop,citylife,drinksontheroof,nycrooftop,beautifulday,drinkingnyc,daydrinking,sundaybrunch,mezcallover,mezcaltime,bloodymaria,cheers,sundayfunday,,,,,,,,,,,,,,,,,
21,nicole_irene_potes,bloodymary,traditionaltattoo,bloodymaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,livinlalilialopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,brokenenglishtacopub,alwayshungrychi,chigram,olympics,chicagofooddude,foodphotography,chicagofood,brunch,312food,igerschicago,eaterchicago,chicagobars,chicagobrunch,devourpower,chicago,lincolnpark,sokophoto,mychicagopix,huffposttaste,bloodymaria,oldtown,todayfood,chicagofoodauthority,,,,,,,,
24,localemagazine,oside,sdhappyhour,anchoreyes,southo,cbad,carlsbad,bloodymary,vista,sanclemente,encinitas,craftcocktails,chumoy,carlsbadvillage,tacotuesday,northcountysd,drinksandiego,northcounty,happyhour,drinkspecials,ig,bloodymaria,tequila,,,,,,,,
25,saulr,whiterussian,carajillos,roseallday,res,sake,yestoall,bloodymaria,white,,,,,,,,,,,,,,,,,,,,,,
26,loveintequila,workhardplayharder,loveintequila,family,sundayfunday,tequilagirl,tequila,bloodymaria,agave,agavesquad,,,,,,,,,,,,,,,,,,,,,
27,blackboweventsnm,bloodymaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,michoandmary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,reyesmezcaleria,bloodymaria,orlandobrunch,reyesmezcaleria,orlando,wheresmymimosa,northquarter,brunchgamestrong,mezcaleria,,,,,,,,,,,,,,,,,,,,,,
30,patiobeverages,local,juice,drinks,cocktail,vegan,veggie,virginmary,drinksathome,nonalcoholic,nourishing,yum,smallbatch,wholesome,noalcohol,vitaminc,patio,bloodymaria,justshakepourandrelax,bloodymary,mixer,,,,,,,,,,
31,billboardbobbyg,billboardbobbyg,tequila,bloodymaria,kennyobryansbar,eastbridgewater,southshoredrinks,,,,,,,,,,,,,,,,,,,,,,,,
32,bloodygerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,tequilacorcel,tequilacorcel,bloody,chicoca,bloodymaria,maria,canyonoakscountryclub,,,,,,,,,,,,,,,,,,,,,,,,
34,taoshum,taoshum,madeinnewmexico,bloodymaria,hotsauceforeveeyone,taoshummakeitstop,taoshumhotsauce,taostaproom,,,,,,,,,,,,,,,,,,,,,,,
35,mix38chavelas on Ins,redbeer,beermix,tds,tds2020,mix38,beer,mix38chavelas,bloodymary,tierradelsol,chavelas,bloodymaria,micheladas,,,,,,,,,,,,,,,,,,
36,mix38chavelas on Ins,bloodymary,refreshing,mix38,bloodymaria,mix38chavelas,beer,chavelas,micheladas,mixeddrinks,,,,,,,,,,,,,,,,,,,,,
37,bedford234,chickensandwich,handcutfries,spicy,10506,bloodymaria,bedfordny,loveyalater,brunch,seeyallsoon,914,,,,,,,,,,,,,,,,,,,,
38,scottiesontheriver,margaritas,bloodymaria,bloodymarias,tequilatuesday,tequilamule,fattuesday,chattanoogadrinkscene,chattanoogatennessee,fattuesdays,chattanoogadrinks,tequila,chattanoogasips,chattanoogatn,chattanooga,tequilasunrise,piedraazul,noogatoday,margarita,tequilashots,lunazul,mule,,,,,,,,,
39,splashmixers,mardigras2020,bloodymary,refreshing,hairofthedog,neworleans,bloodymaria,healthydrinks,cocktails,mocktails,daydrink,mardigras,daydrinking,mardiparty,,,,,,,,,,,,,,,,,
40,tequilacasazul,mondaymood,tequilalover,casazul,cocktails,tequilatequila,mondayvibes,tequilacocktails,tequilajalisco,tequilatime,mixeddrinks,tequilasilver,finetequila,tequilacocktail,tequilalovers,tequiladrinks,bloodymary,bloodymaria,tequilalove,tequila,,,,,,,,,,,
41,greeneyedbella7,refineryrooftop,cheers,sundaybrunch,mezcallover,drinkingnyc,beautifulday,sundayfunday,nycrooftop,citylife,daydrinking,drinksontheroof,mezcaltime,bloodymaria,,,,,,,,,,,,,,,,,
42,barfoodiecutie,eeeeeats,pepperedbacon,happyhour,bacon,pdxbars,bloodymary,eaterpdx,pdxeats,bloodymaria,pdxeater,cocktails,baconbloodymary,roomservice,,,,,,,,,,,,,,,,,
43,shawndrinkswine,delicious,bloodymaria,favoritethings,shawndrinkswine,mygaylife,itsaroughlife,weekend,dontjudgeme,losangelesartist,tequila,daydrinking,gayartist,dayoffvibes,,,,,,,,,,,,,,,,,
44,bloodymarybacheloret,bloodymary,michelada,bloodymaria,foodie,cerveza,southbay,boozybrunch,chiledearbol,hermosabeach,beer,tomato,tequila,marvista,themarvista,sundayfunday,tajin,manhattanbeach,thebloodymarybachelorette,vodka,,,,,,,,,,,
45,jacksinhyde,alcohol,bloodymaria,tequila,foodporn,alcoholicdrinks,drink,bloodymary,homemade,,,,,,,,,,,,,,,,,,,,,,
46,thelifeofameggle,spicyeverything,thelifeofameggle,atx,bloodymary,bloodymaria,pickles,,,,,,,,,,,,,,,,,,,,,,,,
