,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,orchid22__,orchid22,pearlsaretimeless,necklace,pearl,emerald,,,,,,,,,,,,,,,,,,,,,,,,,
1,thegemhunter on Inst,sandwich,emerald,rings,diamondring,,,,,,,,,,,,,,,,,,,,,,,,,,
2,katerina_perez,highjewelry,loveemerald,emeraldjewellery,cabochonemerald,emeraldjewelry,emerald,emeraldsanddiamonds,malpanijewellery,zambianemerald,highjewellery,uniquering,djwe2020,kp❤️malpani,hautejoaillerie,emeraldring,oneofakindjewelry,cabochon,,,,,,,,,,,,,
3,mikedavis816,green,naturalhair,redlips,emerald,overfifty,fakefur,silverhair,,,,,,,,,,,,,,,,,,,,,,,
4,zillionaire.lifestyl,gold,rich,rosegold,hypercars,luxury,fastcar,carlifestyle,jewelry,,,,,,,,,,,,,,,,,,,,,,
5,alexisrusselljewelry,emeraldgreen,emerald,emeraldrings,weddingrings,stacksarethenewblack,solitairering,ido,arstack,love,emeraldcut,dreamring,gemstonerings,ringstack,modernbride,stackingrings,arvow,somethinggreen,emeraldengagementring,,,,,,,,,,,,
6,for_theloveofjewelle,finejewellery,fabiosalini,fortheloveofjewelry,oneofakindjewelry,fortheloveofjewellery,italianjewellery,finejewelrydesign,emerald,jewellery_blog,finejewels,finejewlery,emeraldearrings,jewellerydesigner,fabiosalinigioielli,,,,,,,,,,,,,,,,
7,esmeralda_gems,emeraldcut,esmeraldagems,raregems,colombia,emeraldengagementring,emerald,gemquality,hautejoaillerie,finejewelry,colombianemerald,muzo,finequality,,,,,,,,,,,,,,,,,,
8,katerina_perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,betta_colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,lige_giant,bettafancy,halfmoon,siapasuruhmaingiant,bettaindonesian,giantmulticolor,cupanghiasindonesia,bettafish,giantemerald,indonesia,giantbetta,bettamulticolours,plakat,cupangbetina,giantnemo,bettakoi,giantmarble,bettagiant,cupangindonesia,sale,betta,bettaadditc,emerald,cupangkontes,nemo,cupanghias,doubletail,crowntail,,,
11,diamonds_lover,princess,pear,ราคาโรงงาน,oval,hermes,emerald,radiant,สร้อยคอเพชร,asscher,facebook,เพชรน้ำดี,18kgold,cushion,whitegold,bracelet,heart,ร้านเพชร,instagram,กำไลเพชร,ring,gold,round,review,excellent,necklace,diamonds_lover,marquise,เพชรสวย,highfashion,supreme
12,lige_giant,emerald,bettaadditc,crowntail,indonesia,cupangindonesia,halfmoon,cupanghiasindonesia,nemo,giantemerald,bettakoi,bettaindonesian,cupanghias,bettafancy,siapasuruhmaingiant,cupangbetina,giantmarble,cupangkontes,bettafish,giantmulticolor,doubletail,plakat,bettagiant,bettamulticolours,sale,giantbetta,giantnemo,betta,,,
13,lksister.usa,quartz,handmadeapproved,loveitorreturnit,createeveryday,daintyearrings,danglingearrings,adornyourself,handmadejewelry,emerald,tanzanite,daintyjewelry,preciousstones,bohochic,decorateyourself,beeleganteveryday,tanzanitejewelry,tanzaniteearrings,,,,,,,,,,,,,
14,ninegems47,naturalemeralds,naturalemerald,precious,africanemeralds,emeraldgreen,astroworld,astrology,chrysoberyl,emeralds,africanminerals,emerald,preciousgems,gemstones,gemstonejewelry,gemsandminerals,zambianemerald,naturalgems,yellowsapphire,beryl,realgems,preciousstones,gemologist,gems,emeraldsecret,,,,,,
15,betta_colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,sandbergreser,emeralpool,krabi,emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,soperfectjewelry_tha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,emm.empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,soperfectjewelryoffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ashhoffmanjewelry,engaged,art,ashstack,fashion,necklace,ring,bracelet,gold,diamond,love,sapphire,finejewelry,berlian,ringpic,jewelry,emerald,diamondring,style,rings,diamonds,myrtlebeach,luxury,wedding,silver,ido,myrtlebeachwedding,earrings,jewels,engagementring,
21,orchid22__,pearlsaretimeless,orchid22,pearl,emerald,necklace,,,,,,,,,,,,,,,,,,,,,,,,,
