,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,empress1908gin,galentinesday,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bornlippystyle,notanoldfashionedgirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,beautifulbooze,nola,neworleans,beautifulbooze,french75,cognac,arnauds,,,,,,,,,,,,,,,,,,,,,,,,
4,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,friendsgrilleandbar,mango,peach,craftcocktails,french75,casanoble,haymansgin,itsatfriends,freshingredients,prosecco,drinklocal,titosvodka,,,,,,,,,,,,,,,,,,,
8,tiffypie,floridavacation,sarasota,family,christmas2019,yes,champagne,vacation,florida,french75,sarasotaflorida,,,,,,,,,,,,,,,,,,,,
9,jodie_scully,cheers,french75,hendricksgin,leapyear2020,chandon,melbourne,,,,,,,,,,,,,,,,,,,,,,,,
10,alexandra_mrtd,instafun,french75,instadrink,thingsthatmakeyouhappy,picoftheday,fridaynight,steaktini,instafood,,,,,,,,,,,,,,,,,,,,,,
11,jeanbeans,jax,cocktail,yumsters,jaxbeach,french75,,,,,,,,,,,,,,,,,,,,,,,,,
12,tcheesesmith.hair,willy,girlsnight,french75,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,
13,marcherestauranteuge,mimosa,localfarmers,organic,lebar,traveloregon,breakfast,eatlocal,eugeneoregon,sundaybrunch,frenchrestaurant,regionalcuisine,visitoregon,farmersmarket,french,locallygrown,541tothetable,marcheeugene,french75,brunch,frenchfood,freerange,bloodymary,5thstreetpublicmarket,eugeneeats,pacificnorthwest,yelpeugene,eatrealfood,,,
14,glennab28 on Instagr,hendrixrooftop,columbiasc,french75,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,diva_met,savetheturtles,vancity,appyhour,vancitybuzz,vancouverisland,vancouverbc,french75,liqour,happyhour,champagneflute,refreshing,tasty,vancityhype,vancouver,delicious,skipastraw,raspberry,savetheplanet,yvrdrinks,,,,,,,,,,,
16,bonjour_stg,champagne,french75,gin,cognac,sunnydays,,,,,,,,,,,,,,,,,,,,,,,,,
17,sarahstolar,sangria,french75,oldfashioned,partytime,lovemyfriends,,,,,,,,,,,,,,,,,,,,,,,,,
18,meadowview_gin,springfieldmo,buymebrunch,french75,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fourelevenyorkrestau,tgif,downtownnorfolk,oysters,fourelevenyork,norfolkva,happyhour,roastedoysters,french75,,,,,,,,,,,,,,,,,,,,,,
20,tusk_mke,supportlocal,craftcocktails,drinklocal,infusedmartini,yummy,freshingredients,tuskmke,milwaukeedrinks,thankgoditsftiday,takealoadoff,french75,comeandgetit,,,,,,,,,,,,,,,,,,
21,empress1908gin,galentinesday,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,bornlippystyle,notanoldfashionedgirl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,beautifulbooze,nola,beautifulbooze,cognac,neworleans,arnauds,french75,,,,,,,,,,,,,,,,,,,,,,,,
25,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,empress1908gin,empressgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,friendsgrilleandbar,titosvodka,drinklocal,casanoble,mango,french75,itsatfriends,peach,haymansgin,prosecco,freshingredients,craftcocktails,,,,,,,,,,,,,,,,,,,
29,tiffypie,sarasotaflorida,christmas2019,floridavacation,florida,champagne,french75,sarasota,family,yes,vacation,,,,,,,,,,,,,,,,,,,,
30,jodie_scully,hendricksgin,french75,leapyear2020,melbourne,chandon,cheers,,,,,,,,,,,,,,,,,,,,,,,,
31,alexandra_mrtd,instafun,thingsthatmakeyouhappy,fridaynight,instafood,french75,picoftheday,instadrink,steaktini,,,,,,,,,,,,,,,,,,,,,,
32,jeanbeans,yumsters,jax,cocktail,french75,jaxbeach,,,,,,,,,,,,,,,,,,,,,,,,,
33,tcheesesmith.hair,willy,girlsnight,prosecco,french75,,,,,,,,,,,,,,,,,,,,,,,,,,
34,marcherestauranteuge,bloodymary,eatrealfood,frenchrestaurant,organic,freerange,regionalcuisine,541tothetable,breakfast,mimosa,farmersmarket,yelpeugene,visitoregon,locallygrown,marcheeugene,sundaybrunch,lebar,traveloregon,eugeneoregon,french,localfarmers,eugeneeats,eatlocal,french75,pacificnorthwest,frenchfood,brunch,5thstreetpublicmarket,,,
35,glennab28 on Instagr,french75,hendrixrooftop,columbiasc,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,diva_met,yvrdrinks,refreshing,vancouverisland,champagneflute,tasty,vancouverbc,french75,vancouver,savetheplanet,skipastraw,liqour,savetheturtles,vancityhype,delicious,raspberry,vancity,vancitybuzz,happyhour,appyhour,,,,,,,,,,,
37,bonjour_stg,champagne,french75,gin,sunnydays,cognac,,,,,,,,,,,,,,,,,,,,,,,,,
38,sarahstolar,oldfashioned,sangria,lovemyfriends,partytime,french75,,,,,,,,,,,,,,,,,,,,,,,,,
39,meadowview_gin,springfieldmo,french75,buymebrunch,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,fourelevenyorkrestau,oysters,fourelevenyork,tgif,french75,downtownnorfolk,norfolkva,happyhour,roastedoysters,,,,,,,,,,,,,,,,,,,,,,
41,tusk_mke,takealoadoff,thankgoditsftiday,supportlocal,freshingredients,milwaukeedrinks,french75,tuskmke,yummy,comeandgetit,infusedmartini,drinklocal,craftcocktails,,,,,,,,,,,,,,,,,,
42, S.P.® (@aniasp1906,french75,gdziezjescwwarszawie,bar,warsaw,drinks,restaurant,wheretoeatinwarsaw,restauracjaforty,,,,,,,,,,,,,,,,,,,,,,
