,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,mrmojo_jojo,goodfood,shamrockshot,gooddrinks,rnrthursdays,goodpeople,,,,,,,,,,,,,,,,,,,,,,,,,
1,moemakeup,shamrockshot,goodtimeswithfriends,gettingourdrinkon,stpatricksday,tentparty,irishgirl,springbreak2016,,,,,,,,,,,,,,,,,,,,,,,
2,life_of_mr_levi,greenbeer,shamrockshot,irishwhiskey,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,feleciafrench_ on In,butchkowals,wednesday,butches,drinking,rumchata,drank,fun,rahway,love,shamrockshot,drunk,shots,friends,jameson,yuengling,,,,,,,,,,,,,,,
4,velvetttrose,noblackfriday,shamrockshot,daydrink,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,angelgurl2437,shamrockshot,kissmeimirish,stpattysday,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,seoulfoodmeatco,shoplocal,drinkgreen,getlucky,stpatricksday,clt,churchstreet,charlotteevents,wilmore,cltnc,charlotte,shamrockshot,greenshot,charlottenc,golddistrict,feedyourseoul,stpattysday,blandst,southend,,,,,,,,,,,,
7,avenuegastrobar,liquidluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,caribbeanliquorssxm,stmaartenairport,greenshot,sxm,shamrockshot,stpattys,onlyonsxm,pjia,pjiae,,,,,,,,,,,,,,,,,,,,,,
9,brittany_bowers,shot,shamrockshot,happyhour,jameson,bartenderlife,,,,,,,,,,,,,,,,,,,,,,,,,
10,theokcfoodeater on I,localsupportslocal,foodie,ieat,foodporn,localisbetter,icook,idrink,eatdrinklocal,shamrockshot,uptown23rd,drinkstagram,staygold,ponyboy,drinklocal,drinkcraftcocktails,theokcfoodeater,happyhour,makedaisiesnotwar,craftcocktails,eatlocal,theend,shotsshotsshots,,,,,,,,
11,mo_schnei,familybusiness,conklinbar,bartender,stpatricksday,worldsshorteststpatricksdayparade,conklincrazy,stpaddysday,shamrockshot,,,,,,,,,,,,,,,,,,,,,,
12,pumpkinspicepasquale,shot,gaymer,stpatricksday,buffalo,barrellfactory,shamrockshot,irish,green,gays,lesbian,shamrock,italian,german,,,,,,,,,,,,,,,,,
