,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,zerospecbebop,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mokro_,,,,,,,,,,,,,,,,,,,,,,,,,,
2,giffardasiapacific,,,,,,,,,,,,,,,,,,,,,,,,,,
3,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
4,puss_n_booch,itsathing,grapeandgrain,tequilamanhattan,happyhour,friyeah,,,,,,,,,,,,,,,,,,,,,
5,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scrappysbitters,,,,,,,,,,,,,,,,,,,,,,,,,,
7,outlinedcloth,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bonnieclydesgrapevin,whattodotuesday,tequilatuesday,tequilaanejo,tequilasunrise,tequilamanhattan,tequilablanco,chalinospecial,tequila,tequilareposado,margaritas,grapevinetx,tequilapaloma,mojitoblanco,,,,,,,,,,,,,
9,wineclubliquorland,drinks,tequila,tequilashots,añejo,drinksrecipes,donjuliotequila,tequilamanhattan,tequilacocktails,tequilaanejo,liquorstore,liquorland,,,,,,,,,,,,,,,
10,carsbeerkpop on Inst,tequilabutcher,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,,,,
11,reidumstattd,loveyounewyorkcity,letmebemyself,citythatneversleeps,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,,
12,thefoxandcrowcafe (@,123organictequila,123spirits,dontdrinkalone,goorganic,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,
13,kaique_guimaraes,tequilamanhattan,marguerita,tequilasunrise,,,,,,,,,,,,,,,,,,,,,,,
14,thefoxandcrowcafe (@,brinywellfleetoysters,oystersfordinner,tequilamanhattan,organicnaturally,wellfleetoysters,checksinthemail,simplefoods,,,,,,,,,,,,,,,,,,,
15,underaged_alcoholics,manhattan,liquor,underagedalcoholics,instafamous,booze,bartend,like,drinkoftheweek,mixology,drunks,follow,sweetvermouth,alcoholics,legal,bar,comment,alcohol,bartender,drink,tequilamanhattan,tipsy,tequila,cocktail,bitters,,
16,stgalla on Instagram,tequila,bemelmansbar,plusone,cocktailhour,cocktailsathome,tequilamanhattan,,,,,,,,,,,,,,,,,,,,
17,papparabbit_mgm,drinkmamarabbit,mástequila,dosartestequila,fidenciopechuga,herradurasuprema,donamadolargo,tequilamanhattan,corazonold22,casaamigosmezcal,másmezcal,,,,,,,,,,,,,,,,
18,delicious_craic,drinkgod,nationaltequiladay,jsqlounge,,,,,,,,,,,,,,,,,,,,,,,
19,sapphirelaguna,tequila,visitlaguna,tequiladinner,visitlagunabeach,codigo1530tequila,nationaltequiladay,manhattan,craftcocktails,tequilamanhattan,codigo1530,sapphirelaguna,lagunabeach,tequilalovers,cocktails,happyhour,,,,,,,,,,,
20,nolaguys,tequilamanhattan,labreablvd,cocktails,aretteanejo,labreadistrict,odysandpenelope,aretteanejotequila,cocktailporn,,,,,,,,,,,,,,,,,,
21,zerospecbebop,,,,,,,,,,,,,,,,,,,,,,,,,,
22,mokro_,,,,,,,,,,,,,,,,,,,,,,,,,,
23,giffardasiapacific,,,,,,,,,,,,,,,,,,,,,,,,,,
24,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
25,puss_n_booch,happyhour,friyeah,tequilamanhattan,grapeandgrain,itsathing,,,,,,,,,,,,,,,,,,,,,
26,queenbeemixology,,,,,,,,,,,,,,,,,,,,,,,,,,
27,scrappysbitters,,,,,,,,,,,,,,,,,,,,,,,,,,
28,outlinedcloth,,,,,,,,,,,,,,,,,,,,,,,,,,
29,bonnieclydesgrapevin,tequilablanco,chalinospecial,tequilamanhattan,tequilasunrise,whattodotuesday,tequilareposado,tequila,tequilaanejo,tequilatuesday,margaritas,mojitoblanco,tequilapaloma,grapevinetx,,,,,,,,,,,,,
30,wineclubliquorland,drinks,liquorstore,tequilaanejo,tequilashots,drinksrecipes,tequilamanhattan,liquorland,tequila,tequilacocktails,añejo,donjuliotequila,,,,,,,,,,,,,,,
31,carsbeerkpop on Inst,tequilabutcher,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,,,,
32,reidumstattd,citythatneversleeps,letmebemyself,tequilamanhattan,loveyounewyorkcity,,,,,,,,,,,,,,,,,,,,,,
33,thefoxandcrowcafe (@,123organictequila,tequilamanhattan,dontdrinkalone,123spirits,goorganic,,,,,,,,,,,,,,,,,,,,,
34,kaique_guimaraes,tequilasunrise,marguerita,tequilamanhattan,,,,,,,,,,,,,,,,,,,,,,,
35,thefoxandcrowcafe (@,organicnaturally,brinywellfleetoysters,tequilamanhattan,oystersfordinner,checksinthemail,wellfleetoysters,simplefoods,,,,,,,,,,,,,,,,,,,
36,underaged_alcoholics,liquor,drunks,like,instafamous,legal,cocktail,drink,bar,manhattan,follow,tequilamanhattan,alcohol,booze,comment,bartender,mixology,bartend,bitters,underagedalcoholics,tipsy,sweetvermouth,drinkoftheweek,tequila,alcoholics,,
