,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,beautifulbooze,vinepair,apples,cocktail,france,booze,cocktails,beautifulbooze,french,destinationdaiquiri,calvados,bitters,daiquiri,bartender,boozetravel,,,,,,,,,,,,,,,,
1,the_guest_bartender,daiquiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,drinksgourmet_oficia,drinkswithfriends,gin,coqueteis,ceva,alcool,cocktailtime,cocktailoftheday,cocktails🍸,fimdeano,daiquiri,bartender,alcohol,caipirinha,vodka,quintou,mixology,beber,drinks,shake,anonovo,drinkstagram,caipirinhas,mixologist,bebidas,cocktail,barman,,,,
3,marwei305,lastnight,maisonferrand,cocktails,pineappledaiquiri,cocktailart,mixology,theend,mixing,bartender,hamburg,finalshift,daiquiri,pineapplerum,londoncalling,sweating,lovemyjob,hotelbar,imbibe,fontenaybar,plantationrum,drinks,experience,shaking,passion,invitation,stigginsfancy,,,,
4,shake_and_stehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lucywillis29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,theweekendmixologist,oooohweeee,imoldfashioned,weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,smuggledbysoberon,cocktailrecipe,soberondemeraradryfloat,sanfrancisco,plantationrum,demerararum,rumcocktail,smugglerscove,darkrum,cocktailoclock,libation,maitai,daiquiri,smuggledbysoberon,libations,tikibar,,,,,,,,,,,,,,,
8,yourdailydrinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,caribbeancasinoresta,donperignonchampagne,caribbean,geheimtippmünchen,placetobe,belvedere,luxuryconcierge,klm,airfrance,melia,5bubblereview,happyguests,filmcasino,hotspot,tuifly,minga,opentabledinnerchoicegewinner2020,msc,tuicruises,onlyinmelia,daiquiri,latinfeelings,munich,yourkeytoeverything,ilovecuba🇨🇺,ilovemunich,odeonsplatzmunich,caribbeanfoodporn,cubanspirit,meliahotels,cubanrestaurant
10,rccardocappai,daiquiri,nightout,lahavana,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,dario_ewf on Instagr,lafloridita,hemingway,cuba🇨🇺,ritmodellanoche,habanavieja,miamor,habana,landscapephotography,landscape_captures,lafloriditacuba,ritmo,musicislife,daiquiri,altrochecoronavirus,,,,,,,,,,,,,,,,
12,sylviciousqg,daiquiri,cosmo,tequila,openbar,,,,,,,,,,,,,,,,,,,,,,,,,,
13,fontainesldn,bamboolounge,londoncocktails,tiki,rum,tikibar,dalston,daiquiri,classiccocktail,cocktailhour,negroni,londonbars,bacardirum,happyhour,bombaysapphire,,,,,,,,,,,,,,,,
14,laszlo.001_official,havannaclub,jonesbelgravia,new,lemongrass,lovemyjob,belgravia,menu,london,daiquiri,hibiscous,,,,,,,,,,,,,,,,,,,,
