,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,sqwires1415,stlmardigras,nationalmargaritaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yose_cast on Instagr,devilsmargarita,mixology,margarita,sipsip,chillchill,,,,,,,,,,,,,,,,,,,,,,,,,
2,eatdrinketc,denverdrinks,midici,happyhourdrinks,yayfriday,badweek,friyay,asianfoodie,midicidtc,midicitheneapolitanpizzacompany,dtcdenver,yelpdenver,eaterdtc,yelpcolorado,blackberries,fresnochilipeppers,triplesec,goodweek,tequila,angelsmargarita,simplesyrup,filipinofoodie,limejuice,devilsmargarita,,,,,,,
3,king_of_booze,goodtime,kingofbooze,tequila,lol,truthordare,nightlife,redwine,drinks,goodtimes,devilsmargarita,margarita,partytime,originalcontent,drinkinggames,barnight,reactionpics,neverhaveiever,drunkgirls,drunk,drinkinggame,mostlikely,drinking,games,booze,cocktailrecipe,,,,,
4,blondestripes on Ins,scaryfilms,nightin,tequila,datenight,halloween,redwine,halloweencocktail,margarita,halloweennight,jellyeye,devilsmargarita,,,,,,,,,,,,,,,,,,,
5,jean302,devilsmargarita,spookyseason,instagram,repost,bartender,mixologist,turnup,drinks,happyholloween,loveit,tipsybartender,scary,liquor,bar,share,bartending,happyhour,snapchat,margarita,like,trickortreat,halloween,lit,youtube,drinks🍹,,,,,
6,gulfcoastfoodpilgrim,layereddrink,limejuice,simplesyrup,husbandswhobartend,pensacoladrinks,redwine,tequila,coupleswhococktail,devilsmargarita,margarita,pensacolacocktails,layeredcocktail,,,,,,,,,,,,,,,,,,
7,palmilla_afterdark,hermosapier,devilsmargarita,sombramezcal,hermosabeach,palmillaafterdark,jackskellington,greygoose,nightmarebeforechristmas,fridaythe13th,sombra,barcardi,oogieboogie,palmillacocinaytequila,hermosabeachpier,margarita,cazadorestequila,casadores,sandyclaws,december,vodka,palmillahb,tequila,,,,,,,,
8,streettacony,halloween,tacosnyc,nyceats,nychappyhour,halloween2019,eaterny,newforkcity,margarita,halloweennyc,happyhour,streettaco,tacos,specials,hhnyc,tacolover,streettacony,happyhournyc,devilsmargarita,comethru,,,,,,,,,,,
9,lailapurplesunglow,devilsmargarita,merryinportugal,tipsy,deadly,sugarsyrup,tequila,limejuice,tripelsec,redwine,,,,,,,,,,,,,,,,,,,,,
10,susanhordych,celebrating30years,disney,nationalmargaritaday,devilsmargarita,duelingpianos,pianobar,30thanniversary,,,,,,,,,,,,,,,,,,,,,,,
11,cocktail_for_lone_wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,susanhordych,workingremotely,devilsmargarita,nationaldrinkwineday,travelingwiththeman,hesworking,sunshinestate☀️,,,,,,,,,,,,,,,,,,,,,,,,
13,_katierose_92,devilsmargarita,friedpickles,whirlyball,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,susanhordych,happy30thanniversary,30thanniversary,cheersto30moreyears,devilsmargarita,,,,,,,,,,,,,,,,,,,,,,,,,,
15,fromatodrink,liquor,margarita,sidecarvariation,cherry,tbt,tequilathursday,fromatodrink,tequila,devilsmargarita,thirstythursday,luxardomaraschino,cherrycocktail,lunazultequila,liqpic,cocktail,,,,,,,,,,,,,,,
16,lfcc_1976,fridayfeatures,latinnight,cuervo,champaignillinois,modelo,friday,enchiladas,champaignurbana,corona,devilsmargarita,margarita,lincolnshirefieldscc,chambana,fiestafriday,,,,,,,,,,,,,,,,
17,witches_oracle,happyholidays,goodtimes,xmas,devilsmargarita,mixberry,margaritas,margarita,happyhour,,,,,,,,,,,,,,,,,,,,,,
18,_quizzacious,devilsmargarita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,carpediemnoctempub,coqueteis,tequila,devilsmargarita,carpenoctem,aproveiteseudia,margarita,carpediemnoctempub,drink,marketing,carpediem,campomourao,pub,vinho,aproveitesuanoite,,,,,,,,,,,,,,,,
20,e.b.vision on Instag,margarita,sauzatequila,cocktail,drinks,drink,devilsmargarita,tequila,,,,,,,,,,,,,,,,,,,,,,,
21,sqwires1415,nationalmargaritaday,stlmardigras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,yose_cast on Instagr,chillchill,mixology,devilsmargarita,sipsip,margarita,,,,,,,,,,,,,,,,,,,,,,,,,
23,eatdrinketc,triplesec,blackberries,asianfoodie,fresnochilipeppers,yelpcolorado,tequila,simplesyrup,angelsmargarita,midici,eaterdtc,dtcdenver,midicidtc,goodweek,yelpdenver,friyay,filipinofoodie,yayfriday,denverdrinks,midicitheneapolitanpizzacompany,badweek,happyhourdrinks,devilsmargarita,limejuice,,,,,,,
24,king_of_booze,goodtimes,originalcontent,mostlikely,games,drinkinggame,drunk,neverhaveiever,redwine,truthordare,nightlife,drunkgirls,goodtime,reactionpics,cocktailrecipe,drinking,barnight,booze,margarita,partytime,devilsmargarita,lol,kingofbooze,drinkinggames,drinks,tequila,,,,,
25,blondestripes on Ins,redwine,devilsmargarita,jellyeye,scaryfilms,datenight,halloweencocktail,margarita,tequila,halloween,halloweennight,nightin,,,,,,,,,,,,,,,,,,,
26,jean302,turnup,liquor,like,trickortreat,lit,youtube,snapchat,bartender,scary,instagram,devilsmargarita,loveit,drinks🍹,happyholloween,spookyseason,bar,halloween,repost,tipsybartender,bartending,margarita,drinks,happyhour,mixologist,share,,,,,
27,gulfcoastfoodpilgrim,layeredcocktail,limejuice,margarita,simplesyrup,devilsmargarita,husbandswhobartend,coupleswhococktail,redwine,tequila,pensacoladrinks,pensacolacocktails,layereddrink,,,,,,,,,,,,,,,,,,
28,palmilla_afterdark,hermosapier,sombramezcal,nightmarebeforechristmas,devilsmargarita,oogieboogie,cazadorestequila,sandyclaws,hermosabeach,tequila,sombra,hermosabeachpier,fridaythe13th,vodka,greygoose,december,margarita,palmillacocinaytequila,barcardi,jackskellington,palmillahb,palmillaafterdark,casadores,,,,,,,,
29,streettacony,tacos,comethru,nyceats,happyhour,halloweennyc,hhnyc,devilsmargarita,specials,eaterny,halloween,margarita,streettaco,tacosnyc,halloween2019,tacolover,streettacony,newforkcity,nychappyhour,happyhournyc,,,,,,,,,,,
30,lailapurplesunglow,tripelsec,limejuice,sugarsyrup,merryinportugal,tipsy,redwine,deadly,tequila,devilsmargarita,,,,,,,,,,,,,,,,,,,,,
31,susanhordych,devilsmargarita,celebrating30years,nationalmargaritaday,30thanniversary,duelingpianos,pianobar,disney,,,,,,,,,,,,,,,,,,,,,,,
32,cocktail_for_lone_wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,susanhordych,nationaldrinkwineday,workingremotely,sunshinestate☀️,hesworking,devilsmargarita,travelingwiththeman,,,,,,,,,,,,,,,,,,,,,,,,
34,_katierose_92,friedpickles,devilsmargarita,whirlyball,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,susanhordych,devilsmargarita,30thanniversary,happy30thanniversary,cheersto30moreyears,,,,,,,,,,,,,,,,,,,,,,,,,,
36,fromatodrink,tbt,sidecarvariation,margarita,liquor,tequilathursday,cherry,thirstythursday,lunazultequila,luxardomaraschino,liqpic,tequila,devilsmargarita,cherrycocktail,fromatodrink,cocktail,,,,,,,,,,,,,,,
