,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,alcohowl,alcohowl,,,,,,,,,,,,,,,,,,,,,
1,ecproof,lifestyle,bespokecocktails,ecproof,theproofflat,liquor,drinks,frohito,craftcocktails,homebartender,drinkgram,homebar,sgdrinks,imbibegram,frozencocktails,homebargoods,cocktaillife,cocktails,cocktailculture,craftspirits,cocktailgram,,
2,blondehaarexoxo,favbar,dominicanrepublic,dominikana,mojitobar,bestbar,karibik,cabarete,caribbean,beachlife,favdrink,loveit,frohito,cabaretebeach,yummy,mojito,takiedobre,,,,,,
3,blondehaarexoxo,dominicanrepublic,beach,happyme,frohito,happygirl,paradise,yummy💕💕,raj,urlaub,cabarete,mojito,thebest,cabaretebeach,dominikana,najlepsze,strand,favourites,mojitobar,mniam,holiday,,
4,blondehaarexoxo,frojito,polishcouple,austria,green,instadaily,vienna,mohito,birthdayfun,happyme,polskadziewczyna,wiedeń,weekend,froozenmojito,happygirl,wieden,polishgirl,wien,instamojito,greenlife,birthdayweekend,frohito,wochenende
5,cappyscappys,cappys,cappysnumberone,wine,sale,frohito,rosé,summer,minuty,,,,,,,,,,,,,,
6,lmhillsman,withthisguy❤️,walnutgril,frohito,,,,,,,,,,,,,,,,,,,
7,pierovelazco,mojitofrozeen,frohito,,,,,,,,,,,,,,,,,,,,
8,barista.baker,maitai,margarita,bartending,hurricane,daiquiridefrutas,venezuela,frohito,bacardicocktail,piñacolada,cocktail,planterspunch,,,,,,,,,,,
9,sprounds,,,,,,,,,,,,,,,,,,,,,,
10,julia_jeunesse,sepia,frohito,opole,,,,,,,,,,,,,,,,,,,
11,libation_report,cocktails,thelibationreport,frohito,,,,,,,,,,,,,,,,,,,
