,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,saggioalcolico,negroni,30politico,sessodrogaepastorizia,università,cocktails,vino,milano,pavia,roma,studenteincrisi,top,vita,cfu,negronisbagliato,,,,,,,,,,,,,,,,
1,bevi_con_costanza,negronisbagliato,bartender,orange,negroni,campari,negronicocktail,drinkup,cocktails,cocktailporn,vermouth,gin,drinkblogger,drink,vermut,mixology,cocktailphotography,drinkporn,beviconcostanza,,,,,,,,,,,,
2,caffedelcollegio_mod,fruits,spritz,ig_modena,loves_modena,drinks,drink,modenacentro,cocktailallafrutta,caffedelcollegio,aperitivo,instamodena,franciacorta,vivomodena,modena,bollicine,igersmodena,buffet,apetimeofficial,aperitivotime,colors_of_the_day,cocktail,cocktails,trentodoc,negronisbagliato,aperitimeofficial,americano,prosecco,cittadimodena,colorsplash,apelungo
3,juan_roda,negronisbagliato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,offlinecoffeepub,offlinecoffeepub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,offlinecoffeepub,offlinecoffeepub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,caffedelcollegio_mod,caffedelcollegio,bollicine,cocktails,aperitivotime,modenacentro,martini,franciacorta,redwine,aperitivo,cittadimodena,trentodoc,drink,negronisbagliato,prosecco,wine,drinks,cocktail,cocktailallafrutta,buffet,americano,modenamoremio,modena,fruits,spritz,negroni,,,,,
7,have_spirits_will_tr,wellingtonnz,cinzano1757,camparinz,vermouthditorino,cinzanorosso,negroniweek,wellingtonbars,campari,n100,negronisbagliato,negroniweek2019,negronilovers,brandambassador,negroni,cinzano,,,,,,,,,,,,,,,
8,geometra.barocchieri,mondello,fridaynight,stilllife,instalike,relaxtime,apericena,negroni,stilllifephotography,relax,postoffice,drink,negronisbagliato,mojito,aspettandolestate,instacouple,instagram,couplemoments,cocktails,postwork,cincin,couple,stop,,,,,,,,
9,simono_91,instaphoto,pensieri,instalike,negroni,festa,friends,alcolici,alcol,drink,instamoment,negronisbagliato,me,fotoartistica,,,,,,,,,,,,,,,,,
10,berebeofficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,fabiosantonocito27,beautifullife,martedìgrasso,carnivalparty,igersicily,catania,ohmclub,igercatania,instagram,bellaserata,jamboree,drink,carnival,igers,negronitime,eventi,negronisbagliato,divertimento,instanight,,,,,,,,,,,,
12,ali_9llozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,salvatorecapozzibart,negronitime,napoli,campari,barmanlife,barmanstyle,caserta,cocktails🍸,negronisbagliato,drinks🍹,negronicocktail,drinking,icecube,ice,cocktailgram,aversa,,,,,,,,,,,,,,,
14,sbagliato_di_alta_qu,negroni,classico,sbagliato,camparilovers,sbagliatovienna,negronivienna,drinks,negronisbagliato,ohitaly,aperitivo,,,,,,,,,,,,,,,,,,,,
15,barettibis,aperolspritz,caparisoda,specialbistime,aperitivo,barettibis,turincity,canas,spritz,cocktailbar,bistime,turin,sansalvario,milanotorino,tagliere,tramezzino,birra,negronisbagliato,aperitivobis,bottiglia,americarosa,hugo,taglieridisalumi,tramezzini,vino,,,,,,
