,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,schellepurcell on In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,britomallbright,ithurts,realdifferent,lovehistruth,toughtohear,bollywood,truth,dontknow,reallife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bendthebarman,relationships,moveforward,lifechanges,toxicrelationships,positivity,yourpassions,toughtohear,notoxicpeople,lifesucker,yourgoals,bhud,toxicpeople,,,,,,,,,,,,,,,,,,,,,,,,,,
3,a2jettafreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,alaskanatheart,biblereading,toughdecisions,obeyingishard,heartheword,toughtohear,obeytheword,dontmakethatmistake,listentogod,bodymindsoul,jeremiah,hardtruth,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,unionnet27,usa,toughtohear,police,getout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,mylibertylive,sin,midweekreminder,3points,flower,correct,sermon,mylibertylive,libertyhpt,series,watch,message,needtohear,sky,reminder,report,libertyhvw,sininthechurch,libertylive,respond,libertysfd,itsnotjustchurchitslife,pastorgrant,toughtohear,1corinthians,libertygbr,libertyykr,,,,,,,,,,,,
7,Null,hlhs,him,lovethem,chdwarrior,2019,sadness,hypoplasticleftheart,fetus,newparents,il,her,tears,perfecrnomatterwhat,21weekspregnant,baby,love,chd,toughtohear,pregnant,february,child,hypoplasticleftheartsyndrome,chicago,prayers,,,,,,,,,,,,,,
8,loveli723,drugskill,coughsyrup,goodsong,ryanlewis,forreal,amazing,toughtohear,macklemore,percs,otherside,lean,drugs,listen,,,,,,,,,,,,,,,,,,,,,,,,,
9,magagram19,toughtohear,makeuporbreakup,bootycall,forgiveme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,myfaithspiration,quotes,havefaith,godismyrock,biblequotes,christianity,gospeltruth,christian,praisethelord,givemejesus,chosen,wordsofwisdom,christianmotivation,bible,myfaithspiration,christiansofinstagram,christianquotes,believe,christianinspiration,listenup,quoteoftheday,love,trustgodsplan,faith,trustyourjourney,toughtohear,joy,prayer,seekhimfirst,,,,,,,,,,
11,sharonlicht72,freetools,goalcrusher,massiveaction,dreammaker,residualincome,abundance,movemountains,freetraining,spreadthelove,consistency,toughtohear,neverquit,beablessing,liveyourpurpose,networkmarketing,newhabits,entrepreneur,,,,,,,,,,,,,,,,,,,,,
12,8lugcummins,needstobetold,toughtohear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,aleb3_10,fitchicks,goals,bootyworkouts,workouts,dontblamethedevil,contactme,stength,toughtohear,personaltrainer,determined,thegains,girlswithmuscle,privategym,balance,motivated,fit,livefit,tagafriend,fitlifestyle,fitgirls,beyourownmotivation,quoteoftheday,aesthetics,weightloss,fitspo,dontblameanyonebutyourself,girlswholift,bootybuilding,youvsyou,bootywork,gains,squats,privatetrainer,truth,fitlife,fitness,legday,musclehustle
14,sammysamla,toughtohear,dontblamethedevil,truth,buttruth,thatwasyoubooboo,repost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,andieeygenraam,lifelessons,toughtohear,realtalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,autumnbene,day2,bilbefor21,toughtohear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,rorabear15,itsfun,learning,beingdeaf,peace,tryitout,lol,speakup,learnwithme,toughtohear,asl,letslearn,languages,signlanguage,deaf,,,,,,,,,,,,,,,,,,,,,,,,
18,kelsea_mack93,toughtohear,badday,worldshattered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,libation_report,shots,cocktails,toughtohear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
