,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,champagne_uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,thewinelovers_,thewinelovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,grapechic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,winetouristmag,winetourist,novascotia,canada,friyay,,,,,,,,,,,,,,,,,,,,,,,,,,
5,stefanieleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,vinfatuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Null,cuveesirwinstonchurchill,polrogerchampagne,vintage208,champagnelife,instachampagne,champagne,champagnelover,polroger,,,,,,,,,,,,,,,,,,,,,,
8,youhadmeatbordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,jy.choi1,갓포이든,이이토모,veuveclicquot,뵈브클리코,nihonshu,sparkling,shochu,champagne,,,,,,,,,,,,,,,,,,,,,,
10,thelucyc.d,cake,champagne,gingercake,verveclicquot,glutenfree,foodporn,baking,homemade,,,,,,,,,,,,,,,,,,,,,,
11,etsukotsukamoto,wine,bollinger,champagne,vino,lagrandeannee2012,france,,,,,,,,,,,,,,,,,,,,,,,,
12,chef_johan_ducroquet,bistro,icecream,coffee,winemaker,hk,vin,sexy,hkrestaurant,photography,champagne,hkchef,food,fooding,vigneron,chef,foodblogger,pastry,cheflife,lunch,sommelier,healthy,wine,restaurant,dessert,grandvin,love,brunch,foodie,picoftheday,
13,Null,wethebest,party,hiphop,champagne,boss,vip,nyc,philly,vegas,igers,love,vibes,goodvibesonly,topman,supremeclientele,igdaily,music,instagood,nightlife,best,dj,club,phillysfinest,miami,bottlelife,bottleservice,mood,host,phillyphilly,
14,miyukikatsuyama,ソムリエ,パン,料理屋botan,シャンパン,ソムリエール,champagne,ワイン,ブリオッシュ,,,,,,,,,,,,,,,,,,,,,,
15,denis.m.z,picoftheday,travelholic,winelover,likeforfollow,travel,champagne,yolo,instadaily,pictureoftheday,instamood,photooftheday,bestoftheday,instagood,beach,love,instapic,igers,,,,,,,,,,,,,
16,turbo8833,champagne,ayala,샴페인,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,shop.heifersbetrippi,champagne,la,springfashion,ootd,fashion,spring,🍾,blogger,momlife,nightlife,shopping,beverlyhills,champagneblonde,brunch,brunchlife,want,boutique,,,,,,,,,,,,,
18,zachysdc,dcdining,winecellar,redwine,dcfoodscene,champagne,dcfoodie,rarewine,drinkwine,washington,dcfoodies,bordeaux,washingtondc,georgetown,whitewine,wine,billecartsalmon,dcevents,winetasting,vintagewine,burgundy,jeangrivot,dcfood,beaune,,,,,,,
