,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,co___nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,co___nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,co___nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,newtypechan,술스타그램,히비키,놉크릭,데낄라,글렌드로낙,당분간노구입,위스키,맥캘란,꼬냑,달모어,보드카,부커스,주류상회,발베니,아는것만보인다,카발란,글렌피딕,수집욕,남대문주류상가,남대문시장,,,,,,,,,,
4,a_0______,꿀잠,스미노프,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,songbly___ on Instag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hong_eodiboja,아니라임인가,이제그만,보드카,칵테일,존사람들과,토닉워터,앱솔루트,다음은일품이다,독주가그리울때,어디보자,진토닉,,,,,,,,,,,,,,,,,,,
7,1m_sik7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,teuss3k,팔로우,종각,앱솔루트,너랑나랑우리,니캉내캉,낙원상가쪽,40도쪽쪽,첫줄안녕,보드카,팔로우미,익선동맛집,딥키스,followme,하쿠나마타타,follow,노가리,ㅋㅋ,무릎,인친환영,소통,데일리그램,퐐로퐐로퐐로우미⭕️,,,,,,,,
9,gimhaedong23,플렉스,클럽도깨비,사랑,술집,훈녀,강남클럽,미인,도깨비게스트,아르망디,러브,미녀,클럽도깨비게스트,레이블,샴페인,돔페리뇽,클럽,도깨비조각,보드카,팔로잉,임팩트,md,데낄라,클럽임팩트,로컬,클럽테이블,클럽페이스,강남,도깨비,도깨비테이블,
10,gimhaedong23,미인,강남클럽,사랑,데낄라,보드카,로컬,레이블,샴페인,술집,클럽임팩트,도깨비테이블,강남,클럽도깨비,도깨비게스트,클럽,클럽페이스,미녀,아르망디,md,도깨비,도깨비조각,클럽도깨비게스트,클럽테이블,훈녀,러브,플렉스,돔페리뇽,임팩트,팔로잉,
11,kimhaedong8425,플렉스,돔페리뇽,md,로컬,사랑,도깨비,클럽페이스,클럽도깨비게스트,샴페인,훈녀,도깨비조각,팔로잉,클럽도깨비,임팩트,미인,클럽임팩트,러브,미녀,클럽,도깨비테이블,데낄라,강남,강남클럽,보드카,도깨비게스트,아르망디,레이블,술집,클럽테이블,
12,kimhaedong8425,강남클럽,미녀,클럽테이블,도깨비게스트,클럽도깨비게스트,미인,로컬,레이블,아르망디,사랑,데낄라,러브,클럽페이스,클럽,샴페인,훈녀,도깨비조각,팔로잉,도깨비테이블,도깨비,md,클럽도깨비,플렉스,강남,임팩트,클럽임팩트,보드카,술집,돔페리뇽,
13,kimhaedong8425,클럽,미인,돔페리뇽,도깨비게스트,미녀,플렉스,사랑,클럽도깨비게스트,레이블,클럽테이블,로컬,도깨비조각,데낄라,훈녀,강남,도깨비,샴페인,임팩트,도깨비테이블,md,술집,강남클럽,클럽임팩트,클럽페이스,팔로잉,아르망디,러브,클럽도깨비,보드카,
14,Null,한림술집,서울의밤,고산술집,위스키,水月,와인,한경술집,반려동물출입가능,suwoul,뽈뽀,허니브라운,황금보리,수월,문경바람,우렁이쌀,레페,낮술,스텔라아르투아,보늬밤조림,제주술집,생맥주,대정술집,제주돌문어,혼술,보드카,스지조림,협재술집,오비,밤조림,여성을위한술집
15,bestvladivostok,베스트블라디보스톡,무료짐보관,당근크림,꿀시식,블라디보스톡,기념품,곰새우,꿀,보드카,보드카입점,블라디보스톡쇼핑,츄다데이,블라디보스톡쇼핑리스트,차가버섯,블라디보토크,벨라야베료즈까,독도새우,짐보관,루스키스탄다르트,보드카판매,,,,,,,,,,
16,lucky_inside,데일리,luckyinside,어플,하이퍼서울,핫플,오늘의무료쿠폰,스폐셜,단즈카,보드카,럭키인사이드,드링크,,,,,,,,,,,,,,,,,,,
17,lucky_inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,lucky_inside,보드카,데일리,럭키인사이드,luckyinside,핫플,스폐셜,어플,하이퍼서울,단즈카,오늘의무료쿠폰,드링크,,,,,,,,,,,,,,,,,,,
19,home_inobar (@home_i,혼술,술담화,데낄라,홈바,신례명주,homebar,럼,bar,술스타그램,브랜디,보드카,wine,위스키,와인,칵테일,whisky,홈텐딩,,,,,,,,,,,,,
20,moonlight_soby,대구칵테일,좋아요,바스타그램,칵테일맛집,moonlight,샷,대구핫플레이스,대구놀곳,헝가리음식,비어퐁,스마일,대구술집,대구,계대달빛,밤,맥주,달빛,보드카,칵테일,일상,대구달빛,양주,파티,외국인사장,대구맛집,헝가리,언어교환모임,소주,주말,대구영어파티
21,_kyung_hyun_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,kimhaedong8425,도깨비,술집,훈녀,강남,보드카,클럽도깨비게스트,미녀,도깨비게스트,돔페리뇽,클럽임팩트,러브,강남클럽,md,미인,플렉스,사랑,데낄라,도깨비테이블,팔로잉,도깨비조각,클럽도깨비,클럽테이블,로컬,샴페인,클럽,임팩트,아르망디,레이블,클럽페이스,
23,kimhaedong8425,도깨비게스트,강남클럽,사랑,클럽,클럽페이스,도깨비조각,도깨비테이블,훈녀,로컬,클럽도깨비,술집,강남,미인,클럽도깨비게스트,플렉스,돔페리뇽,샴페인,클럽테이블,데낄라,미녀,보드카,팔로잉,레이블,임팩트,아르망디,md,러브,클럽임팩트,도깨비,
24,p_b_rn,맞팔,텐션펍,금릉,연애,펍,여친이랑,좋반,보드카,97년생,좋아요,vodka,date,맞팔해요,치얼스,대학생,pub,🍺,금릉역,알콩달콩,24,달콤,97,❤,drinks,데이트,마시고또마시고,,,,
25,changhanvit,앱솔루트보드카,absolutvodka,보드카,,,,,,,,,,,,,,,,,,,,,,,,,,,
