,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,david_w_champagne,winetasting,와인스타그램,와인홀릭,일상,winelover,와인,샴페인,meursault,데일리,wineporn,vin,winestagram,vino,wein,champagne,wine,cochedury,meursaultlesrougeots,,,,,,,,,,,,
1,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,soultossol,instawine,winenote,krug,soultossol,크룩,soultossol_krug,kruglovers,winelover,winetime,와인스타그램,wine,샴페인,champagne,champagnelover,vine,winetasting,winelife,와인,winestagram,인스타와인,,,,,,,,,,
4,la_romanee_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,soultossol,cristalchampagne,winelover,soultossol,winelife,winenote,champagnelover,soultossol_cristal,winetime,instawine,샴페인,louisroederer,winestagram,와인스타그램,champagne,와인,wine,vine,winetasting,인스타와인,,,,,,,,,,,
7,champagne_joseph_des,instawine,champagner,샴페인,oakbarrel,cuveeii,шампанско,winemaker,mousserande,bubbles,bestwines,wineoclock,🍾,repost,vintips,bubbel,cuveeiii,luxury,🥂,hautvillers,vigneronindependant,prestige,champagne,josephdesruets,,,,,,,
8,jonghyuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fxjyjy_,샴페인,맞팔,셀스타그램,소통,강남,제태크,선팔,일산,좋아요반사,협찬디엠,데일리,맛집,첫줄안녕,아이스와인,돔페리뇽,팔로우,뵈브클리코,홍보,치즈,인친,협찬,셀카,청담,선팔하면맞팔,fx가입점,치즈브랜드,선팔맞팔,,,
10,scharzhofberg,와인,독일,wein,mosel,champagne,moselwine,wine,riesling,샴페인,,,,,,,,,,,,,,,,,,,,,
11,j.siwon on Instagram,샴페인,hbd🎂,tome,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,starrystarry_night_,데일리룩,와인,selfic,셀카,데일리,셀피,일상,샴페인,daily,해운대,wine,꽃,selca,마셔랏,,,,,,,,,,,,,,,,
13,clubflex365,서울,플렉스클럽,flex,술스타그램,잠죽잠,강남플렉스,보드카,인싸,렉스호텔,샴페인,논현,플렉스,신사,한남동,클럽,클럽플렉스,돔페리뇽,이태원,강남,clubflex,모엣,flexclub,아르망디,강남클럽,,,,,,
14,clubflex_365,논현,클럽플렉스,샴페인,잠죽잠,플렉스클럽,아르망디,강남,이태원,인싸,모엣,보드카,한남동,flexclub,강남플렉스,flex,술스타그램,clubflex,렉스호텔,돔페리뇽,클럽,플렉스,강남클럽,서울,신사,,,,,,
15,flexclub365,클럽플렉스,술스타그램,플렉스,서울,강남클럽,강남,플렉스클럽,샴페인,모엣,잠죽잠,인싸,clubflex,이태원,렉스호텔,논현,아르망디,강남플렉스,flex,보드카,클럽,신사,돔페리뇽,flexclub,한남동,,,,,,
16,flexclub_365,아르망디,돔페리뇽,강남클럽,이태원,클럽,clubflex,모엣,플렉스,flexclub,한남동,샴페인,술스타그램,강남,서울,강남플렉스,잠죽잠,렉스호텔,신사,flex,플렉스클럽,논현,클럽플렉스,인싸,보드카,,,,,,
17,d_geon0922,둔산동감성주점,대전클럽,강남,나이트,두정동,둔산동클럽,시에나,은행동,대전둔산동,사전예약,클럽,대전둔산동클럽,대전클럽헤븐,청주,둔산동,클럽헤븐,베테랑,샴페인,교복파티,헤븐,유성,천안,페이스,대전헤븐클럽,세븐즈,플렉스,,,,
18,lollipop_w7,속초,골뱅이무침,샴페인,속초여행,동명항맛집,루이로드레,회,당근마차,동명항,와인,,,,,,,,,,,,,,,,,,,,
19,spainer_spainer,샴페인,fun,please,샴페인러버,moetchandon,homewine,집와,와인러버,와인타임,champagne,모엣샹동🍾,bringmespring,봄이여오라🌸,rosechampagne,꿀,모엣샹동로제,champagnelover,로제샴페인🍷,,,,,,,,,,,,
20,kimhaedong8425,데낄라,미녀,미인,클럽테이블,클럽도깨비게스트,로컬,클럽페이스,아르망디,도깨비조각,레이블,술집,플렉스,md,샴페인,도깨비테이블,돔페리뇽,클럽,사랑,강남,보드카,훈녀,팔로잉,도깨비게스트,클럽임팩트,강남클럽,러브,도깨비,클럽도깨비,임팩트,
21,ena_yudeungbbang,기네스,버드와이저,듀체스,프로젝트,샴페인,단체모임,진주가볼만한곳,진주시내술집,진주핫플,진주클럽,핫플,위스키,프로젝트일공오일,진주바,진주술집,장소대여,와인맥주,진주맛집,파티룸,데이트,프로젝트1051,커플데이트,진주라운지,진주나이트,모임장소,오늘한잔,보드카,이벤트,아지트,project1051
22,bar_tican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,jonghyuw,winecountry,cabernetsauvignon,merlot,champagnelife,winelife,winewednesday,frenchwine,wineoclock,winenight,shiraz,champagnepop,샴페인,ワイン,italianwine,sauvignonblanc,wineglass,bollinger,wein,winebar,winenot,вино,winegeek,winery,winelovers,wineanddine,winetour,sparklingwine,,,
24,kya_1985,시그니엘107층,샴페인,간만에한잔,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Null,센텀시티신세계,센텀신세계맛집,회식,와인추천,한우육사시미,데이트코스,신세계센텀점,와인맛집,부산맛집그램,한우커플,와인러버,가족모임,센텀신세계,부산수영,샴페인,부산한우,와인테이스팅,맛스타그램,광안리맛집,,,,,,,,,,,
26,Null,와인,플랜비,cocktail,whisky,대관행사,데이트코스,강남,bar,논현,행사,각종모임,파티,압구정,wine,whiskey,여러분은소중하니까,압구정로데오,신사,데이트,칵테일바,샴페인,칵테일,위스키,planb,생일파티,champagne,대관,bartender,청담,
27,freesm_haeundae,부산맛집,칵테일,부산인생샷,해운대프리즘,영도카페,부산대관,부산가볼만한곳,광안리카페,부산칵테일,칵테일맛집,광안리맛집,프리즘,부산데이트장소,수영맛집,광안리술집,부산라운지바,부산핫플,해운대술집,샴페인,인생샷명소,해운대카페,부산핫플레이스,부산여행,해운대맛집,뮤직,부산카페,,,,
28,the_chariot_official,크룩,칵테일,샴페인,위스키바,더채리엇,위스키,프라이빗,칵테일바,파티,분위기좋은술집,포트와인,돔페리뇽,뵈브클리코,상수,보드카,합정,모임,와인,몰트바,홍대,모엣샹동,thechariot,,,,,,,,
29,toast_officiel,은행동,은행동맛집,둔산동맛집,프렌치레스토랑,은행동가오픈,wine,대흥동,내추럴와인,대흥동맛집,대전위스키,대전데이트,샴페인,신상맛집,토스트,공간,대전핫플,대전데이트코스,팔사,온더테이블,대전와인,파티,대전가오픈,대전,대전맛집,신상카페,갈마동맛집,대전와인샵,대전카페,,
30,kimhaedong8425,클럽페이스,술집,플렉스,강남클럽,클럽임팩트,강남,도깨비,샴페인,도깨비게스트,임팩트,도깨비테이블,미녀,레이블,팔로잉,사랑,클럽테이블,미인,아르망디,훈녀,데낄라,로컬,보드카,클럽도깨비,클럽,md,도깨비조각,러브,돔페리뇽,클럽도깨비게스트,
31,kimhaedong8425,훈녀,클럽페이스,플렉스,도깨비게스트,임팩트,보드카,클럽도깨비게스트,클럽테이블,돔페리뇽,사랑,도깨비조각,강남,팔로잉,도깨비,강남클럽,md,데낄라,아르망디,술집,클럽도깨비,미녀,레이블,러브,도깨비테이블,샴페인,로컬,클럽임팩트,미인,클럽,
32,woooooooooooojin,압구정로데오,오마카세,깡패,소통,일상,한우,마스크,맞팔,분위기,레드와인,청결,압구정,도쿄등심압구정,fff,좋반,바다가재,손세정제,샴페인,랍스터,랍스타,f4f,화이트와인,압구정맛집,,,,,,,
33,david_w_champagne,cochedury,샴페인,winestagram,일상,wineporn,meursault,와인스타그램,wine,meursaultlesrougeots,winelover,winetasting,와인,데일리,champagne,와인홀릭,wein,vin,vino,,,,,,,,,,,,
34,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,soultossol,와인스타그램,winelife,instawine,winelover,샴페인,krug,winetime,인스타와인,winetasting,soultossol_krug,winenote,winestagram,kruglovers,soultossol,champagnelover,크룩,와인,wine,vine,champagne,,,,,,,,,,
37,la_romanee_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,champagneworldwide,champagneworldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,soultossol,champagnelover,soultossol_cristal,winestagram,wine,와인스타그램,soultossol,winetasting,winelife,louisroederer,champagne,winelover,winenote,cristalchampagne,instawine,winetime,샴페인,vine,와인,인스타와인,,,,,,,,,,,
40,champagne_joseph_des,oakbarrel,bubbles,instawine,шампанско,repost,prestige,mousserande,luxury,bestwines,vintips,wineoclock,vigneronindependant,hautvillers,bubbel,샴페인,josephdesruets,cuveeiii,champagner,winemaker,champagne,cuveeii,🍾,🥂,,,,,,,
41,jonghyuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,fxjyjy_,홍보,청담,치즈브랜드,일산,fx가입점,첫줄안녕,협찬디엠,선팔맞팔,협찬,좋아요반사,맞팔,뵈브클리코,돔페리뇽,인친,데일리,셀카,강남,제태크,셀스타그램,소통,아이스와인,팔로우,샴페인,선팔하면맞팔,치즈,맛집,선팔,,,
43,scharzhofberg,독일,와인,moselwine,wine,champagne,샴페인,wein,riesling,mosel,,,,,,,,,,,,,,,,,,,,,
44,j.siwon on Instagram,tome,샴페인,hbd🎂,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,starrystarry_night_,셀카,wine,일상,해운대,샴페인,꽃,데일리룩,마셔랏,selca,와인,selfic,daily,데일리,셀피,,,,,,,,,,,,,,,,
46,clubflex365,clubflex,플렉스클럽,술스타그램,flexclub,강남클럽,이태원,렉스호텔,flex,잠죽잠,아르망디,보드카,한남동,플렉스,신사,돔페리뇽,클럽플렉스,인싸,강남,서울,논현,모엣,강남플렉스,클럽,샴페인,,,,,,
47,clubflex_365,논현,이태원,플렉스클럽,클럽,플렉스,샴페인,모엣,돔페리뇽,flex,술스타그램,한남동,서울,아르망디,강남플렉스,강남,렉스호텔,보드카,인싸,신사,flexclub,잠죽잠,클럽플렉스,clubflex,강남클럽,,,,,,
48,flexclub365,모엣,렉스호텔,클럽,서울,돔페리뇽,clubflex,인싸,한남동,신사,논현,플렉스클럽,클럽플렉스,강남,아르망디,강남클럽,잠죽잠,flexclub,술스타그램,flex,강남플렉스,플렉스,이태원,보드카,샴페인,,,,,,
49,flexclub_365,논현,돔페리뇽,신사,샴페인,플렉스,flexclub,서울,이태원,모엣,강남클럽,술스타그램,강남플렉스,보드카,clubflex,클럽,인싸,클럽플렉스,한남동,잠죽잠,아르망디,렉스호텔,flex,강남,플렉스클럽,,,,,,
50,d_geon0922,대전헤븐클럽,청주,사전예약,두정동,대전클럽,베테랑,교복파티,헤븐,플렉스,유성,강남,둔산동,클럽헤븐,페이스,대전클럽헤븐,샴페인,둔산동클럽,나이트,둔산동감성주점,세븐즈,천안,클럽,대전둔산동클럽,대전둔산동,시에나,은행동,,,,
51,lollipop_w7,동명항,샴페인,속초여행,동명항맛집,루이로드레,속초,당근마차,골뱅이무침,회,와인,,,,,,,,,,,,,,,,,,,,
52,spainer_spainer,please,집와,champagne,champagnelover,모엣샹동🍾,와인타임,fun,꿀,와인러버,봄이여오라🌸,모엣샹동로제,로제샴페인🍷,moetchandon,rosechampagne,bringmespring,샴페인러버,homewine,샴페인,,,,,,,,,,,,
53,kimhaedong8425,클럽테이블,미인,플렉스,md,미녀,임팩트,클럽,클럽도깨비,돔페리뇽,팔로잉,데낄라,도깨비조각,도깨비테이블,보드카,술집,도깨비게스트,러브,클럽임팩트,훈녀,로컬,클럽페이스,레이블,클럽도깨비게스트,도깨비,샴페인,아르망디,강남클럽,강남,사랑,
54,ena_yudeungbbang,진주가볼만한곳,진주술집,보드카,위스키,진주클럽,이벤트,진주핫플,와인맥주,프로젝트,프로젝트1051,핫플,듀체스,버드와이저,프로젝트일공오일,진주시내술집,project1051,오늘한잔,진주바,커플데이트,기네스,단체모임,진주나이트,장소대여,샴페인,모임장소,파티룸,진주맛집,아지트,진주라운지,데이트
55,bar_tican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,jonghyuw,wineglass,winecountry,winegeek,merlot,shiraz,wineanddine,winelife,sparklingwine,wein,winetour,winenot,italianwine,вино,champagnepop,winewednesday,bollinger,winenight,wineoclock,winelovers,winery,cabernetsauvignon,ワイン,샴페인,winebar,champagnelife,frenchwine,sauvignonblanc,,,
57,kya_1985,샴페인,간만에한잔,시그니엘107층,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Null,한우육사시미,데이트코스,와인추천,와인러버,센텀시티신세계,광안리맛집,센텀신세계,한우커플,센텀신세계맛집,가족모임,회식,맛스타그램,샴페인,부산맛집그램,신세계센텀점,부산수영,와인테이스팅,와인맛집,부산한우,,,,,,,,,,,
59,Null,행사,논현,와인,champagne,칵테일바,강남,whiskey,데이트,압구정,cocktail,여러분은소중하니까,위스키,칵테일,bartender,청담,파티,샴페인,wine,데이트코스,bar,압구정로데오,각종모임,플랜비,planb,대관행사,생일파티,whisky,대관,신사,
60,freesm_haeundae,해운대술집,해운대프리즘,칵테일맛집,해운대카페,부산대관,광안리맛집,부산데이트장소,부산핫플,뮤직,칵테일,샴페인,영도카페,부산맛집,광안리술집,광안리카페,부산가볼만한곳,해운대맛집,프리즘,부산여행,부산카페,부산라운지바,부산인생샷,수영맛집,부산핫플레이스,인생샷명소,부산칵테일,,,,
61,the_chariot_official,보드카,칵테일바,뵈브클리코,분위기좋은술집,프라이빗,포트와인,상수,thechariot,홍대,몰트바,크룩,돔페리뇽,파티,더채리엇,모엣샹동,샴페인,위스키바,합정,위스키,칵테일,와인,모임,,,,,,,,
62,toast_officiel,대전카페,신상맛집,온더테이블,신상카페,wine,토스트,대전맛집,대전데이트코스,대흥동맛집,대전와인,대전핫플,은행동맛집,둔산동맛집,내추럴와인,대전,은행동가오픈,파티,팔사,샴페인,대전데이트,갈마동맛집,대전위스키,대전가오픈,대전와인샵,공간,프렌치레스토랑,은행동,대흥동,,
63,kimhaedong8425,클럽,러브,강남클럽,미녀,팔로잉,클럽도깨비게스트,플렉스,클럽임팩트,강남,사랑,아르망디,로컬,술집,데낄라,도깨비,샴페인,md,클럽도깨비,보드카,돔페리뇽,클럽테이블,훈녀,미인,도깨비조각,임팩트,도깨비게스트,도깨비테이블,레이블,클럽페이스,
64,kimhaedong8425,술집,플렉스,임팩트,훈녀,사랑,데낄라,md,팔로잉,클럽임팩트,도깨비조각,클럽테이블,도깨비게스트,미인,아르망디,강남클럽,로컬,클럽페이스,클럽도깨비,러브,샴페인,보드카,돔페리뇽,도깨비,강남,미녀,도깨비테이블,클럽,클럽도깨비게스트,레이블,
65,woooooooooooojin,일상,압구정맛집,샴페인,소통,압구정,랍스타,한우,맞팔,분위기,손세정제,도쿄등심압구정,마스크,청결,화이트와인,오마카세,f4f,좋반,깡패,fff,레드와인,압구정로데오,바다가재,랍스터,,,,,,,
66,kim_jongkwon_,빈티지와인,올드빈티지,와인스타그램,frenchwine,vintagewine,샴페인,스파클링와인,샹파뉴,올빈,frenchchampagne,シャンパン,프랑스와인,sparklingwine,domperignon1996,スパークリングワイン,모엣샹동,domperignon,ワイン,domperignon1985,와인,샴페인스타그램,champagne,빈티지샴페인,moetchandon,프랑스샴페인,フランスワイン,돔페리뇽,domperignon1990,winelover,vintagechampagn
67,dailywine_anyang_pan,서울와인,좋아요누르면팔로우,선팔,wine,좋아요환영,호노로베라블랑코,의왕와인,호노로베라,좋아요,데일리와인안양판교점,dailywine,전국택배,와인,vino,호주와인,선팔맞팔,칠레와인,프랑스와인,호노로베라리오하,미국와인,가성비와인,좋아요누르면선팔,데일리와인,샴페인,스페인와인,맞팔,호노로베라가르나차,호노로베라모나스트렐,이탈리아와인,팔로
68,kkokjs on Instagram:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,salon_bb_flower,wine,꽃다발,프로포즈,테라스,대전맛집,💐,꽃,둔산동맛집,ootd,둔산동,데일리,대전,분위기,선물,둔산동꽃집,스테이크,금요일,파티,프라이빗룸,위모,브런치,기념일,소규모파티,생일,일상,와인,데이트,파스타,레스토랑,샴페인
70,winebar_hello,생일파티,감성,신사동술집,와인사랑,셀피,분위기좋은와인바,보드카,술스타그램,술집,가로수길아지트,가로수길술집,가로수길와인,단골,친스타그램,가로수길데이트코스,신사동와인바,분위기깡패,와인바,강남,가로수길와인바,와인스타그램,와인파티,분위기,압구정,연말파티,취향저격,먹스타그램,소통,샴페인,
71,bistrogin1st,wine,순천와인,speakeasybar,순천핫플,순천맛집,샴페인,떼땅저리저브브뤼,볼랭져스페셜뀌베,winebar,champagne,비스트로긴,순천와인바,아일라브뤼마져,,,,,,,,,,,,,,,,,
72,jaehoon_1818,둔산동,클럽,청주,두정동,플렉스,세븐즈,은행동,샴페인,천안,대전클럽헤븐,사전예약,유성,대전헤븐클럽,대전둔산동클럽,강남,대전클럽,대전둔산동,둔산동감성주점,둔산동클럽,01,나이트,클럽헤븐,헤븐,,,,,,,
73,bar_tican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
