,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,chefclubkr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jay_park___,광교카페거리,brendantracey,petnat,스월,휘들라스와프,로제펫낫,스파클링와인,vindefrance,wine,wineoffrance,광교와인바,와인,france,네추럴와인,펫낫,ruedelasoif,naturalwine,프랑스,,,,,,,,,,,,
2,dessertist_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rarestwines,스파클링와인,와인스타그램,bordeauxwine,rarewine,frenchwine,vintagewine,petrus,winemerchant,hongkongwine,luxurywine,rarewines,와인바,cellar,와인🍷,rarestwines,pomerol,redwine,oldwine,,,,,,,,,,,,
4,famouschateaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lucete_vely,사진그램,스파클링와인,감성그램,겨울감성,dessert,wine,카페투어,소통그램,인친해요,winecafe,데일리,일상,mood,좋반,photo,와인,취저,follow,좋아요,와인카페,줌마그램,카페감성,분위기,평일,수요일,디저트,인스타푸드,cafetour,팔로우,
6,amy.archive,에이미와인리스트,보히가스,뵈브클리코,연말와인,,,,,,,,,,,,,,,,,,,,,,,,,,
7,filippos_papadakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,famouschateaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,hyeoni.x,술,맛집,추천메뉴,맛집추천,스파클링와인,추천,꼬막무침,와인,맞팔,부다발리,빌라욜란다모스카토다스티,소통,맛있어,food,와인안주,대선,치즈과일플래터,접대,이탈리아,피곤,selfie,또갈래용,덕천,일상,,,,,,
10,seo.dana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,binzip_emptyhouse,레드와인,빈집,을지로3가,스파클링와인,aropayouth,비어있는집,화이트와인,whitewine,십분의일_바로옆,euljiro,포트와인,2호점,portwine,11번출구을지로술집,binzip,청년아로파,redwine,와인,wine,euljiro3ga,을지로3가역,,,,,,,,,
12,kim_jongkwon_,와인스타그램,frenchchampagne,フランスワイン,프랑스와인,빈티지샴페인,domperignon1985,모엣샹동,샴페인,vintagewine,빈티지와인,frenchwine,와인,winelover,올빈,스파클링와인,돔페리뇽,sparklingwine,moetchandon,vintagechampagn,샹파뉴,프랑스샴페인,domperignon,champagne,샴페인스타그램,domperignon1990,スパークリングワイン,ワイン,domperignon1996,올드빈티지,シャンパン
13,lesvinsdemaeil,와인스타그램,스파클링와인,발레벨보,cu,레뱅드매일,cu와인,와인추천,weleadcasualclass,발레벨보모스까또스푸만떼,스파클링,모스까또,lesvinsdemaeil,,,,,,,,,,,,,,,,,,
14,coeyunhyi2743,대구,스파클링와인,와인,스페인,,,,,,,,,,,,,,,,,,,,,,,,,,
15,soulmate_eb,울산카페,울산맛집,울산베이커리,카페,일상,댓글,cafe,맞팔,버니니,사진,성안동카페,카페투어,울산,울산소울메이트,부산,instagram,울산데이트,소울메이트,브런치맛집,팔로우,브런치,소통,daily,울산갈곳,대구,스파클링와인,데일리,cafe_soulmate,,
16,dasom775 on Instagra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,monol_wine_culture,스파클링와인,monol,친절한사장님,실패없는와인,미국와인,광교카페거리,영통와인,핫플레이스,판교와인,로제와인,코넌드럼로제,모놀와인,분당와인,캘리포니아와인,상현와인,세계와인,모놀와인앤컬처,수지와인,코넌드럼로제스파클링,로제스파클링,광교와인,가성비와인,수원와인,모여서놀자,와인추천잘하는곳,화이트데이선물,와인추천,착한가격와인,죽전와인,
18,fishman_sashimibar,해산물,줄삼치,사시미바,비스트로달고나,사시미바피쉬맨,초회,생선구이,협동조합달고나,사케,사시미,쉐리,스파클링와인,망원동,복지마트달고나,fishman,피쉬맨,,,,,,,,,,,,,,
