,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,bjinwan,colonel,whiskey,bourbon,버본,켄터키,아메리칸위스키,whisky,버번,smallbatch,미국위스키,taylor,,,,,,,,,,,,,,,,,,,
1,boogiewoogieseoul,와인,boogiewoogie,재즈라이브,재즈클럽,rnb,경리단길재즈,클래식칵테일,이태원재즈,부기우기,맥주,jazzclub,livebar,경리단길데이트,jazzbar,itaewon,피자,jazz,디제잉파티,해방촌,아메리칸위스키,이태원데이트,싱글몰트위스키,홉하우스13,jazzlive,이태원,재즈바,경리단길,soul,hiphop,
2,loa_bar,올드포레스터,갈마동bar,혼술집,애정결핍,갈마동애정결핍,위스키,버번위스키,와인,대전애정결핍,갈마동술집,대전혼술,칵테일,갈마동혼술집,혼술,아메리칸위스키,bar애정결핍,대전혼술집,수입맥주,갈마동혼술,대전술집,대전bar,싱글몰트,브라운포맨,,,,,,,
3,kwang.13579,블루먹고싶다,레드라벨,조니워커,배달,먹고디지자,먹방탐방,잭다니엘허니,위스키,아메리칸위스키,술스타그램,술,겔겔,음식짱,벌꿀띠,고추장찜닭,,,,,,,,,,,,,,,
4,soowonopa_sookhee,코발라이,eh타일러버번,에반윌리암스싱글배럴,헨리맥케나,포로지스스몰배치,메이커스마크cs,숙희,사장님콜렉션,웰러,코발포그레인,코발밀레,드라이플라이,10미리씩,을지로바,1792풀프루프,시음회,납크릭,이글레어,eh타일러라이,iw하퍼12,아메리칸위스키,일라이저크레이그,,,,,,,,
5,wood_side_bar,カクテルバー,서면술집,michtersrye,cocktailbar,서면칵테일바,서면바,부산,michters,서면와인바,michterswhiskey,믹터스,michterssourmash,서면칵테일,아메리칸위스키,믹터스위스키,힐링,michtersbourbon,서면와인,서면몰트바,서면,메타베브코리아,woodsidebar,우드사이드,釜山カクテルバー,釜山のおしゃれbar,서면싱글몰트위스키,busancocktail,,,
6,spacebar_centum,에디러셀,wildturkey,와일드터키12년,wildturkeyrarebreed,스페이스바센텀,부산혼술,wildturkeybourbon,센텀혼술,센텀스페이스바,해운대혼술,아메리칸위스키,와일드터키,bourbon,eddierussell,,,,,,,,,,,,,,,,
7,honey_vivi_,루프탑바,itaewon,감자튀김,버번위스키,happybirthday,frenchfries,birthday,생일파티,bourbon,rooftop,짠,이태원루프탑,bourbonwhiskey,tikiisland,drink,칵테일,이태원,cheers,위스키,toast,americanwhiskey,티키아일랜드,whiskey,drinking,버번,cocktail,아메리칸위스키,루프탑,,
8,jyeok_home_bar,vieuxcarre,미국,drinks,vsop,camus,위스키,liquor,cinzano,아메리칸위스키,vermouth,칵테일,홈텐딩,cognac,홈바,whisky,cocktail,뷰카레,benedictine,homecocktail,사제락,뉴올리언스,bulleit,homebar,whiskey,instadrink,홈칵테일,술스타그램,,,
9,bobs_alcohol_tastesn,아메리칸위스키,미쿡전통주,잭다니엘,남자위취미,음주생활,테네시위스키,whisky,americanwhiskey,잭다니엘스,whiskey,술리뷰,제정신은건강에해롭다,미쿡,,,,,,,,,,,,,,,,,
10,luxurier,americanwhiskey,rowanscreek,handmadewhiskey,버번위스키,로완스크릭,아메리칸위스키,핸드메이드,,,,,,,,,,,,,,,,,,,,,,,
11,garou_psw,kentuckystraightbourbonwhiskey,벅8,버번위스키,buck8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,whiskycricket,bourbon,bourbonwhisky,americanwhisky,kentuckybourbon,메이커스마크,아메리칸위스키,버번위스키,whisky,makersmark,버번,위스키,,,,,,,,,,,,,,,,,,,
13,kingscountydistiller,보틀인본드,라이위스키,라이,아메리칸위스키,repost,킹스카운티,칵테일,위스키,목동,오목교,버번위스키,버번,,,,,,,,,,,,,,,,,,
14,oshjh1021,아메리칸위스키,와일드터키101,1l,버번,술스타그램,,,,,,,,,,,,,,,,,,,,,,,,,
15,im__not_famous_alice,whiskey,bourbonwhiskey,bar,와일드터키101,양평,몰트바,와일드터키81,일상,싱글몰트,cocktail,경의중앙선,양평카페,양평맛집,selfie,양평시장,칵테일,엘리스,양수리,아메리칸위스키,경기도,펜션,jameson,양평술집,bourbon,와일드터키,selstagram,위스키,버번위스키,cocktailbar,cocktails
16,bar_opium_,킹스카운티,목동,보틀인본드,라이,버번,라이위스키,칵테일,위스키,아메리칸위스키,버번위스키,오목교,,,,,,,,,,,,,,,,,,,
17,kicked_silver,먹스타그램,staggjr,술스타그램,양갈비,스태그주니어,bourbon,신논현맛집,아메리칸위스키,whisky,북해도목장,,,,,,,,,,,,,,,,,,,,
18,johnnie_w_green,americanwhiskey,아메리칸위스키,bourbon,버번,oldezra,oldezra7year,올드에즈라,위스키,bourbonwhiskey,whiskey,,,,,,,,,,,,,,,,,,,,
19,kjs0909,글렌알라키,아메리칸위스키,시음회,싱글몰트,믹터스,위스키,,,,,,,,,,,,,,,,,,,,,,,,
20,future_spdr on Insta,미래바,짐빔하이볼,손님환영,양주,폐업직전,짐빔,짐빔허니,아메리칸위스키,위스키,새술입고,대림,신풍,미래포차,,,,,,,,,,,,,,,,,
21,hohohohohoya,메이커스마커,위스키,맥켈란,아메리칸위스키,맥켈란도좋은데,식스어클락,메이커스마크맛있당,싱글몰트,,,,,,,,,,,,,,,,,,,,,,
22,wolverin_89,americanwhiskey,근데술끊었네😂,monkeypuzzle,아메리칸위스키,gifted,alcohol,술끊은지23일,고마워요💕,2020선물,희귀술,몽키퍼즐,레어템,새해선물🎁,whiskey,7시20분도착,위스키,2020년,,,,,,,,,,,,,
23,lpy_89,ryewhiskey,woodinville,maplesyrup,bourbon,버번위스키,증류주,cascadia,술,술스타그램,whiskey,시애틀,woodinvillewhiskeyco,아메리칸위스키,craftdistillery,washington,pnw,distillery,라이위스키,americanwhiskey,위스키,증류소,woodinvillewhiskey,워싱턴,westcoast,메이플시럽,rye,seattle,,,
