,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,cepd_or,강남바틀샵,위스키그램,ジェイムソン,irishwhiskey,세브도르,ipa맥주,술스타그램,선릉바틀샵,위스키,jamesoncaskmates,seoul,제임슨,whiskey,아이리쉬위스키,jameson,ウイスキー,southkorea,ソウル,맥덕,アイリッシュウイスキー,비어백,르네상스사거리,선릉역,아일랜드,역삼동,강남구,jamesonwhiskey,,,
1,jian_0925,뮤직페스티벌,이쁘다,jameson,뷰티풀민트라이프,제머슨,위스키,바람개비,origianl,어제,whiskey,제임스,뷰민라2016,잭콕,beautifulmintlife,봄나들이,피크닉,왔어요,뷰민라,2년차,아이리쉬위스키,bml,festival,🎪,좋아,날씨,데이트,뮤직,럽스타그램,irishwhiskey,
2,Null,jimbeam,johnniewalker,jameson,glenfiddich,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jjeong2_1010,행복,양산술집,아이리쉬위스키,감사,하이볼,아일랜드,증산맛집,양산맛집,제임슨,범신와바,물금,증산술집,범신,범어택지,세계맥주,피닉스다트,증산,양산부산대학교병원,여름,다트,양산,칵테일,제임슨하이볼,석산,양산와바,,,,,
4,fcm_bonnienclyde_ky,😘,hü,제임슨,어쿠스틱라이브,둘다,하나투어브이홀,휴이,홍대,플링,라이브,후후,보고싶어요,아이리쉬위스키_제임슨,밴드휴이,아이리쉬위스키,,,,,,,,,,,,,,,
5,baobab.gimhae,하이볼,바오밥,김해,아이리쉬위스키,제임슨위스키,,,,,,,,,,,,,,,,,,,,,,,,,
6,s.k.yi_,불토,아이리쉬위스키,맛스타그램,jameson,whiskey,한잔,마시고싶다,불금,제임슨,friday,양주,위스키,술스타그램,좋은사람,weekend,칵테일,술,food,,,,,,,,,,,,
7,baminuna1031,토닉워터,한잔,🍸,칵테일,아이리쉬위스키,맛스타그램,제임슨,위스키,양주,술스타그램,레몬,넘나좋은것,,,,,,,,,,,,,,,,,,
8,may_joon_july,cocktail,까뮤,lambay,camus,아이리쉬위스키,camuscognac,꼬냑,whisky,람베이위스키,싱글몰트위스키,cognac,irishwhiskey,whiskey,아이리쉬,코냑,람베이,lambayirishwhiskey,위스키,아일랜드,준바투어,블렌디드위스키,lambaywhiskey,,,,,,,,
9,l_s_g_life,아일랜드,irishwhiskey,기네스,최고에요,해외여행,ireland,dublin,iloveireland,더블린,사랑해요,guinness,아이리쉬위스키,,,,,,,,,,,,,,,,,,
10,quater_bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,wonchanjjang,bartender,australialife,마스터클레스,아이리쉬위스키,호주생활,masterclass,beneathdriverlane,irishwhiskey,australia,,,,,,,,,,,,,,,,,,,,,
12,dope_flavor_life,irishwhiskey,아이리쉬카밤,baileys,irishcarbombs,guiness,바,쏘퍼플,베일리스,아이리쉬위스키,전대,기네스,cocktails,광주,칵테일,gwangju,위스키,cocktail,전대후문,광주광역시,소퍼플,,,,,,,,,,
13,lovehyelinz,예쁜카페,카푸치노,계피스틱,분위기굿,아크로스,맛좋당👍,아이리쉬위스키,,,,,,,,,,,,,,,,,,,,,,,
14,hyonibooks,아일랜드,더블린,아이리쉬위스키,위스키박물관,위스키,더블린위스키,아일랜드여행,,,,,,,,,,,,,,,,,,,,,,,
