,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Null,배민,이벤트,디저트,아페리티프,배달의민족,양림동맛집,케이크,양림동,빵배달,양림동카페,미니케이크,디저트맛집,광주파티쉐,,,,,,,,,,,,,,,,,
1,Null,아페리티프,양림동맛집,배민,파티쉐,베이커리,디저트,빵배달,케이크,배달의민족,,,,,,,,,,,,,,,,,,,,,
2,Null,배달의민족,디저트,아페리티프,양림동맛집,양림동,빵배달,이벤트,양림동카페,배민,미니케이크출시기념,디저트맛집,케이크,광주파티쉐,,,,,,,,,,,,,,,,,
3,Null,빵배달,디저트맛집,양림동,아페리티프,양림동맛집,양림동카페,,,,,,,,,,,,,,,,,,,,,,,,
4,Null,디저트맛집,양림동카페,양림동맛집,디저트,배민,배달의민족,이벤트,아페리티프,케이크,양림동,광주파티쉐,크로슈,빵배달,,,,,,,,,,,,,,,,,
5,Null,배달의민족,배민,파티쉐,케이크,디저트,아페리티프,빵배달,,,,,,,,,,,,,,,,,,,,,,,
6,Null,빵배달,이벤트,광주파티쉐,디저트,배민,아페리티프,양림동맛집,광주크로와상,배달의민족,양림동카페,양림동,케이크,디저트맛집,,,,,,,,,,,,,,,,,
7,Null,소식,휴무,디저트,앙버터프레첼,케이크토퍼,케이크,파티쉐,아페리티프,,,,,,,,,,,,,,,,,,,,,,
8,Null,파티쉐,배달의민족,딸기케이크,아페리티프,케이크,가정의달,배민,딸기,디저트,,,,,,,,,,,,,,,,,,,,,
9,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,yangin_bakeshop,광주빵집,양림동카페,아페리티프,양림동빵집,양림동맛집,양인제과,양림동,,,,,,,,,,,,,,,,,,,,,,,
11,Null,양림동빵집,양인제과,수제도넛,양림동,광주빵집,양림동케이크,양림동맛집,아페리티프,,,,,,,,,,,,,,,,,,,,,,
