,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,brakarbysilva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,benzdiamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mazzanewyorkofficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,traxnyc,traxreviews,traxnyc,customjewelry,chains,jewelry,diamondjewelry,diamonddistrict,,,,,,,,,,,,,,,,,,,,,,
5,the.jewelry.bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bdl.nyc,bespokering,diamondsnyc,diamondring,nyc,customring,diamonddistrict,handmadering,aisleperfect,soloverly,diamonds,ringoftheday,jewelernyc,theknot,asschercut,ringstyle,sydney,,,,,,,,,,,,,
8,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,spice.dior_,performance,voguer,newyork,family,dior,paris,dmv,voguefem,internationalhaus,bqvf,commencedior,atl,godmother,thecarolinas,pride,fashion,diamonddistrict,philly,kikiscene,midwest,dance,oty,equality,newjersey,london,european,ballroom,florida,
10,spice.dior_,atl,dmv,equality,newyork,dior,european,dance,voguer,commencedior,florida,performance,kikiscene,internationalhaus,thecarolinas,bqvf,fashion,voguefem,family,midwest,pride,diamonddistrict,paris,london,newjersey,oty,philly,godmother,ballroom,
11,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,spice.dior_,dmv,performance,atl,voguer,pride,fashion,family,dior,ballroom,commencedior,thecarolinas,european,godmother,florida,london,philly,equality,bqvf,oty,diamonddistrict,newjersey,kikiscene,internationalhaus,dance,paris,voguefem,midwest,newyork,
13,spice.dior_,ballroom,oty,dance,newyork,dmv,kikiscene,midwest,family,godmother,diamonddistrict,voguefem,philly,paris,fashion,newjersey,voguer,pride,florida,thecarolinas,bqvf,european,performance,dior,atl,london,equality,internationalhaus,commencedior,
14,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,spice.dior_,diamonddistrict,newjersey,philly,london,dance,kikiscene,pride,oty,dior,dmv,newyork,voguer,florida,european,godmother,performance,bqvf,equality,voguefem,thecarolinas,atl,ballroom,internationalhaus,family,fashion,paris,commencedior,midwest,
16,spice.dior_,bqvf,atl,florida,london,equality,philly,voguer,dance,paris,fashion,voguefem,newjersey,midwest,european,newyork,family,performance,pride,diamonddistrict,dmv,internationalhaus,oty,commencedior,kikiscene,godmother,ballroom,thecarolinas,dior,
17,spice.dior_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,spice.dior_,dmv,newyork,family,thecarolinas,internationalhaus,voguefem,oty,diamonddistrict,newjersey,florida,london,commencedior,midwest,atl,fashion,bqvf,equality,paris,godmother,european,pride,voguer,ballroom,performance,philly,dior,kikiscene,dance,
19,spice.dior_,dior,voguefem,equality,newyork,thecarolinas,european,godmother,atl,ballroom,florida,paris,kikiscene,midwest,bqvf,diamonddistrict,philly,internationalhaus,performance,dance,pride,voguer,family,london,fashion,commencedior,oty,dmv,newjersey,
20,spice.dior_,internationalhaus,oty,equality,dmv,kikiscene,midwest,ballroom,family,london,voguer,thecarolinas,atl,european,florida,godmother,newjersey,paris,fashion,diamonddistrict,bqvf,commencedior,philly,newyork,dance,performance,voguefem,dior,pride,
21,brakarbysilva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,benzdiamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,mazzanewyorkofficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,traxnyc,chains,diamondjewelry,traxreviews,diamonddistrict,traxnyc,customjewelry,jewelry,,,,,,,,,,,,,,,,,,,,,,
26,the.jewelry.bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,marrymerings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,bdl.nyc,sydney,theknot,handmadering,aisleperfect,ringstyle,ringoftheday,soloverly,diamonds,diamondring,asschercut,jewelernyc,diamondsnyc,nyc,diamonddistrict,bespokering,customring,,,,,,,,,,,,,
