,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,barprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,marianetta_,ukranianaenmexico,travellingasalifestyle,exploremexico,jalisco,mexicobonito,travelphotography,destinosmexicanos,guadalajara,sanmigueldeallende,travelmexico,tequila,guanajuato,agave,agaveplant,mexicolindo,,,,,,,,,,,,,,,
2,marianetta_,agaveplant,travelphotography,travellingasalifestyle,agave,travelmexico,exploremexico,destinosmexicanos,guanajuato,sanmigueldeallende,ukranianaenmexico,mexicolindo,jalisco,mexicobonito,guadalajara,tequila,,,,,,,,,,,,,,,
3,garnish_girl,grapefruitbitters,cocktailrecipes,cocktails,clearcocktails,booze,liqpic,spiritforward,liquorgram,imbibegram,drinkstagram,tequila,tequilacocktail,drinks,cocktailporn,liquor,giveaway,homemixology,craftcocktails,withatwist,nickandnoraglass,mixology,grapefruittwist,cocktailphotography,cocktailsofinstagram,barware,imbibe,,,,
4,whats.marisa.drinkin,goldcoastcocktails,drinkpic,cocktailpic,mixology,nationalmargaritaday,classicocktail,liqpic,cocktailhour,booze,drinkup,cocktailrecipe,tequila,mixologist,drinking,imbibe,thecocktaildreamteam,instacocktail,drink,myfavouritecocktail,drinkporn,margaritas,drinkstagram,goldcoastlife,whatsmarisadrinking,garnishgame,craftcocktails,libations,,,
5,prissy_pig,pigarita,prissyandpop,sillypop,somewhereonabeach,itsfiveoclocksomewhere,nationalmargaritaday,,,,,,,,,,,,,,,,,,,,,,,,
6,minibardonuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,aboutdrinksandbars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,nutrirodrigomoreira,tequila,caloriasdasbebidasalcoolicas,cerveja,bebidasalcoolicas,vodka,gin,vinho,,,,,,,,,,,,,,,,,,,,,,,
9,macsworld5,love,beautiful,california,bar,margarita,photooftheday,rio,party,restaurant,carribean,rockstar,foodie,tequila,italy,coverart,mixology,france,carlifestyle,wine,paris,club,hawaiilife,chef,martini,drink,music,bahamas,hotel,,
10,takeadailybreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,detnyscala,melorme,tequila,worm,detnyscala,eftertræning,workout,træning,ravsborggade,proteinshakes,,,,,,,,,,,,,,,,,,,,,
12,vidatacobar,bmore_hungry,harborpoint,charmcityfoodadventures,tequila,drinkporn,annapolis,bmorefood,eatdmv,drinkstagram,fellspoint,baltimore,cocktail,drinkbaltimore,weeatmd,charmcitytable,officialfoodgroup,margarita,craftcocktails,margaritas,severnapark,afjeats,cocktails,downtownannapolis,myfab5,mybmore,nationalmargaritaday,jzeats,,,
13,winedineandfuntimes,mexican,margaritas,cocktails,tequila,winning,margaritaday,familytime,drink,margarita,ljnch,funtime,happyhour,party,yummy,brunch,drinks,mexico,,,,,,,,,,,,,
14,chilangauio,fajitas,food,carnavalenquito,nachos,mexicanfood,dailyfoodfeed,ecuador,tasty,guacamole,instaquito,tequila,instafood,foodlover,carnaval,restaurantesenquito,comidamexicana,momentochilanga,quito,tacos,chilanga,ladiesnight,restaurantemexicano,,,,,,,,
15,egosbaratx,atx,cucumber,karaoke,cheers,watermelon,happyhouraustin,margarita,margaritas,karaokebar,nationalmargaritaday,libations,tequila,drinks,,,,,,,,,,,,,,,,,
16,dmkburgerbar,chicago,chicagoeats,nationalmargaritaday,margarita,tequila,chicagodrinks,,,,,,,,,,,,,,,,,,,,,,,,
17,eventbarman_,eventbarman,tequila,bartenders,cocktails,eventplanner,margaritaday,eljimador,,,,,,,,,,,,,,,,,,,,,,,
18,buyritert45,njwinestore,danosdangeroustequila,superbuyrite,buyritenotwrong,tequilatasting,reposado,margarita,blanco,anejo,agave,cocktail,margaritaday,tequila,buyriteliquors,mexico,pineappletequila,superbuyritewestdeptford,cocktails,nationalmargaritaday,,,,,,,,,,,
19,calientecab,nationalmargaritaday,mexican,grubshotsnyc,eatupnewyork,margaritas,newforkcity,eatingnyc,bleeckerstreet,mexicanfood,classic,nyc,westvillagelife,eater,sogood,westvillagenyc,tequila,nycfood,eating,calientecab,noleftovers,eeeeeats,nyceats,caliente,delicious,tryitordiet,tacotaxi,hungry,,,
20,drakescomeplay,bartending,nashville,do502,tequilalovers,indy,knoxrocks,draaaaanks,instadrinks,cocktails,margaritaday,sharelouisville,tequila,cocktailsofinstagram,rocketcity,indygram,craftcocktails,imbibegram,margaritalovers,craftcocktail,drinkup,drakescomeplay,drinkstagram,drinks,sharethelex,nationalmargaritaday,cocktailfiles,visitfranklintn,bartender,margarita,
21,barprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,marianetta_,travelphotography,guadalajara,mexicolindo,mexicobonito,travelmexico,travellingasalifestyle,ukranianaenmexico,tequila,agave,exploremexico,guanajuato,jalisco,sanmigueldeallende,destinosmexicanos,agaveplant,,,,,,,,,,,,,,,
23,marianetta_,destinosmexicanos,travellingasalifestyle,sanmigueldeallende,travelmexico,mexicolindo,travelphotography,exploremexico,agaveplant,agave,guanajuato,guadalajara,tequila,ukranianaenmexico,jalisco,mexicobonito,,,,,,,,,,,,,,,
24,garnish_girl,liqpic,cocktailporn,tequila,withatwist,imbibe,imbibegram,craftcocktails,booze,cocktailphotography,cocktails,cocktailsofinstagram,barware,homemixology,tequilacocktail,drinks,giveaway,grapefruitbitters,clearcocktails,drinkstagram,nickandnoraglass,mixology,liquorgram,grapefruittwist,cocktailrecipes,spiritforward,liquor,,,,
25,whats.marisa.drinkin,liqpic,goldcoastlife,classicocktail,cocktailpic,myfavouritecocktail,tequila,drinkstagram,drinkup,cocktailhour,thecocktaildreamteam,goldcoastcocktails,libations,mixologist,drinkpic,drink,booze,drinking,cocktailrecipe,mixology,nationalmargaritaday,whatsmarisadrinking,instacocktail,imbibe,margaritas,drinkporn,garnishgame,craftcocktails,,,
26,prissy_pig,pigarita,somewhereonabeach,nationalmargaritaday,itsfiveoclocksomewhere,sillypop,prissyandpop,,,,,,,,,,,,,,,,,,,,,,,,
27,minibardonuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,aboutdrinksandbars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,nutrirodrigomoreira,vinho,cerveja,tequila,vodka,bebidasalcoolicas,gin,caloriasdasbebidasalcoolicas,,,,,,,,,,,,,,,,,,,,,,,
30,macsworld5,bahamas,wine,tequila,club,carlifestyle,rio,foodie,hawaiilife,drink,carribean,mixology,music,margarita,martini,bar,paris,chef,party,coverart,restaurant,photooftheday,france,rockstar,love,california,italy,beautiful,hotel,,
31,takeadailybreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,detnyscala,melorme,tequila,træning,workout,ravsborggade,detnyscala,eftertræning,worm,proteinshakes,,,,,,,,,,,,,,,,,,,,,
33,vidatacobar,drinkbaltimore,cocktail,weeatmd,charmcityfoodadventures,drinkstagram,drinkporn,harborpoint,cocktails,downtownannapolis,jzeats,afjeats,margaritas,mybmore,tequila,charmcitytable,bmorefood,myfab5,craftcocktails,eatdmv,baltimore,severnapark,margarita,bmore_hungry,nationalmargaritaday,fellspoint,officialfoodgroup,annapolis,,,
34,winedineandfuntimes,familytime,cocktails,mexican,funtime,drink,happyhour,margarita,winning,margaritas,tequila,margaritaday,brunch,party,ljnch,yummy,mexico,drinks,,,,,,,,,,,,,
35,chilangauio,tacos,guacamole,momentochilanga,tasty,restaurantemexicano,instafood,carnaval,fajitas,tequila,dailyfoodfeed,comidamexicana,ladiesnight,nachos,chilanga,mexicanfood,ecuador,carnavalenquito,restaurantesenquito,food,foodlover,quito,instaquito,,,,,,,,
36,egosbaratx,karaokebar,margarita,tequila,atx,cucumber,libations,nationalmargaritaday,drinks,margaritas,cheers,watermelon,happyhouraustin,karaoke,,,,,,,,,,,,,,,,,
37,dmkburgerbar,tequila,chicagodrinks,nationalmargaritaday,margarita,chicagoeats,chicago,,,,,,,,,,,,,,,,,,,,,,,,
38,eventbarman_,eventplanner,tequila,bartenders,eljimador,eventbarman,cocktails,margaritaday,,,,,,,,,,,,,,,,,,,,,,,
39,buyritert45,anejo,buyritenotwrong,superbuyrite,tequilatasting,pineappletequila,mexico,superbuyritewestdeptford,reposado,cocktail,margarita,blanco,agave,njwinestore,tequila,cocktails,margaritaday,danosdangeroustequila,buyriteliquors,nationalmargaritaday,,,,,,,,,,,
40,calientecab,grubshotsnyc,nationalmargaritaday,nyceats,eeeeeats,tequila,bleeckerstreet,hungry,eater,mexican,classic,nycfood,eatupnewyork,delicious,eating,nyc,sogood,eatingnyc,noleftovers,calientecab,westvillagelife,caliente,westvillagenyc,tacotaxi,mexicanfood,tryitordiet,margaritas,newforkcity,,,
41,drakescomeplay,indy,nashville,instadrinks,cocktails,rocketcity,nationalmargaritaday,drinkup,margaritaday,bartender,imbibegram,craftcocktails,visitfranklintn,margaritalovers,drinkstagram,drinks,tequila,cocktailfiles,craftcocktail,bartending,drakescomeplay,margarita,indygram,tequilalovers,sharethelex,draaaaanks,sharelouisville,knoxrocks,cocktailsofinstagram,do502,
42,bar_de_q,bartender,margarita,cocktails,bar,aperitivo,cocktailbar,patronmargarita,tequila,bardeq,patrontequila,weekend,,,,,,,,,,,,,,,,,,,
43,Null,whiskey,baldisbeautiful,worlds,budlight,nationals,iawa,tequila,polish,bald,bigboi,usawa,kingburl,deadlift,strength,ipa,power,,,,,,,,,,,,,,
44,tavernunited,winnipeg,josecuervo,gameday,tequila,tavernunited,margarita,,,,,,,,,,,,,,,,,,,,,,,,
45,vintageshrewd,spirits,love,wines,packaging,life,label,tequila,livingthedream,family,nationalmargaritaday,fitness,travel,friends,,,,,,,,,,,,,,,,,
46,elranchomedellin,pacantar,fondamexicana,ron,nochesdemezcal,whisky,rancheras,musicaplancha,elrancho,tequila,elranchomedellin,cantina,vodka,vallenatos,elultimoynosvamos,wheremedellin,pabeber,crossover,corridos,despecho,quehacerenmedellin,,,,,,,,,,
47,remedy_chicago,worldofbars,chicagofoodauthority,wickerpark,nationalmargaritaday,eeeeeats,chicagofoodanddrink,margaritas,chicagogram,chicagobars,tequila,fireplace,moody,drinkporn,bucktown,eatdrinkdochi,chicagofunauthority,chicagoeats,chicagobarscene,chicagonightlife,bartenders,remedybarchi,eaterchicago,infatuationchi,igerschicago,logansquare,imbibe,do312,chicago,,
48,baja328,junket,thedayhasfinallycome,patrongirls,hudsonvalley,food,margarita,galaxymargarita,nationalmargaritaday,tacosarelife,tequila,itsasaturday,nationalmargaritaday2020,comepartywithus,shots,,,,,,,,,,,,,,,,
49,utgolfclub,hillcountry,nationalmargaritaday,steinerranch,tequila,utgc,do512,margarita,wherechampionsplay,austinlately,utgolfclub,atx,cheerstotheweekend,,,,,,,,,,,,,,,,,,
50,dos_dedos_bath,bartenderlife,bathcity,weekending,margarita,dosdedos,nationalmargaritaday,barstagram,booze,margaritatime,tequilalover,mixology,tequila,drinks,mexicancantina,tequilacocktails,margsforlife,thehappynow,igersbath,bathbars,saturdayvibes,postthepeople,saltrim,,,,,,,,
51,viaggiorestaurant,tequila,italiancocktails,cocktails,trombareposado,tromba,italianfood,viaggioto,italianrestaurant,internationalmargaritaday,dundaswest,margaritaday,,,,,,,,,,,,,,,,,,,
52,cocktailsformommy,celebrate,tequila,tradition,alcoholawareness,holiday,tequilabar,margarita,letsdrink,weekendmode,margaritaday,liquorplans,cocktailsformommy,mixeddrinks,cocktails,nationalmargaritaday,moms,restaurant,cheers,,,,,,,,,,,,
53,foodies.2,premiumquality,246,corkysgarage,week,cocktails,island,sauzatequila,tequilacocktails,margaritaday,happymoments,goodvibes,mixology,goals,conversation,love,islandlife,toptags,cigars,barbados,flavor,happyday,tequila,margarita,corkysgaragebb,,,,,,
54,barprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,marianetta_,ukranianaenmexico,mexicobonito,travelphotography,tequila,agave,guadalajara,destinosmexicanos,jalisco,mexicolindo,agaveplant,travelmexico,sanmigueldeallende,guanajuato,exploremexico,travellingasalifestyle,,,,,,,,,,,,,,,
56,marianetta_,agaveplant,travellingasalifestyle,exploremexico,agave,mexicolindo,ukranianaenmexico,travelmexico,destinosmexicanos,guadalajara,sanmigueldeallende,tequila,guanajuato,jalisco,travelphotography,mexicobonito,,,,,,,,,,,,,,,
57,garnish_girl,clearcocktails,craftcocktails,tequilacocktail,withatwist,booze,cocktails,cocktailrecipes,liquorgram,barware,giveaway,drinkstagram,drinks,grapefruitbitters,liqpic,mixology,liquor,homemixology,tequila,cocktailphotography,spiritforward,imbibe,nickandnoraglass,imbibegram,cocktailporn,cocktailsofinstagram,grapefruittwist,,,,
58,whats.marisa.drinkin,libations,goldcoastcocktails,goldcoastlife,instacocktail,imbibe,cocktailpic,nationalmargaritaday,myfavouritecocktail,margaritas,cocktailhour,classicocktail,booze,mixologist,thecocktaildreamteam,craftcocktails,drinkup,drinking,garnishgame,whatsmarisadrinking,tequila,cocktailrecipe,drinkpic,drinkporn,liqpic,drink,drinkstagram,mixology,,,
59,prissy_pig,nationalmargaritaday,somewhereonabeach,itsfiveoclocksomewhere,prissyandpop,pigarita,sillypop,,,,,,,,,,,,,,,,,,,,,,,,
60,minibardonuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,aboutdrinksandbars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,nutrirodrigomoreira,tequila,vodka,vinho,gin,bebidasalcoolicas,cerveja,caloriasdasbebidasalcoolicas,,,,,,,,,,,,,,,,,,,,,,,
