,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,topwhiskies,whiskey,topwhiskies,whisky,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bourbonlens,whisky,kentuckyowlrye,podcast,bourbonwhiskey,rye,whiskey,recording,bourbon,harrodsburgky,podcasting,stoli,kentuckyowlbourbon,sundayfunday,kentuckyowlconfiscated,kentuckyowl,,,,,,,,,,,,,,
2,buckeyebourbongirl,whiskey,womenwhowhiskey,bourbontrail,doubleoaked,whiskeygirl,womenofwhiskey,bourbongirl,bourbonlovers,whiskeylovers,womenofbourbon,oldforester,bourbongram,bourbonlover,bourbonporn,whiskeychicks,instawhiskey,caskstrength,cheers,bourbonfreak,bourbonwhiskey,bourbonlife,bourbonenthusiast,allthewhiskey,whiskeywomen,thebourbonleague,sundayfunday,bourbonwomen,bourbon,thebourbonalliance
3,thedailydram,cigars,whiskies,thedailydram,bourbon,irish,community,bushmills,distillery,whisky,favorite,travel,friends,weekend,scotch,sd,slainte,cheers,whiskey,adventure,,,,,,,,,,
4,deathandtaxesbrisban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,barman_academy,bartenderlife,homebartender,cocktailhour,cocktailrecipe,pub,barmanacademy,meikocleansolutions,scotsmanice,cocktailparty,idcoffeelab,instagood,happyhour,whiskey,cocktailporn,beverage,sensoryspace,cheers,tequila,cocktailculture,drink,cocktailphotography,nightlife,bar,thebestbarsclub,cocktails,cocktailevent,,,
6,Null,bourbon,whiskey,thebourbonalliance,,,,,,,,,,,,,,,,,,,,,,,,,,
7,billbinderlll,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,nashvillebarberbabe,menshair,barber,nashvillebarberbabe,whiskeyneat,barbernashville,nashvillelife,menscut,touristnashville,beardtrim,passionate,nashvillecuts,haircut,haircutting,highendbarber,bigtimebarber,nashville,whiskey,beard,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
