,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,theweekendmixologist,banana,sazerac,bananarac,cocktailcodex,deathandcompany,,,,,,,,,,,,,,,,,,,,,,,,,
1,smoke_roma,buffalotraceantiquecollection,austintexas,sazerac,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,newschooltiki,newschooltiki,gin,sazerac,bartenderlive,buenosaires,recoleta,bar,,,,,,,,,,,,,,,,,,,,,,,
3,whitkrystof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,carothersws,eaglerare,sazerac,blantons,buffalotrace,,,,,,,,,,,,,,,,,,,,,,,,,,
5,singlemaltsavvy,instabourbon,lawrenceburg,singlebarrelselect,bourbonwhiskey,jimbeam,dram,bourbon,wildturkey,whiskies,distillery,drinkstagram,bottlephotography,whiskeygram,bourbongram,bourbons,storepick,goldenhour,drinksofinstagram,singlebarrel,sazerac,bourbontrail,russelsreserve,singlemaltsavvy,treeshot,110proof,imbibegram,bourboncounty,pappy,distillerylife,weller
6,mollysondecatur,2020,mollysfreehouse,wudat,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,joshuabsteely on Ins,stagg,sazerac18,sazerac,buffalotracedistillery,thomashandy,eaglerarelife,bourbonbrandbuilding,weller,williamlarueweller,georgetstagg,eaglerare17,eaglerare,btac,,,,,,,,,,,,,,,,,
8,sethweinberg,wellerbourbon,theoriginalwheatedbourbon,americanwhiskey,whiskey,wheatedbourbon,prohibition,vintagewhiskey,kentuckybourbon,whiskeyporn,bourbonsteak,bourbon,wellerwednesday,wlweller,sazerac,whiskeywednesday,buffalotrace,,,,,,,,,,,,,,
9,dogggzillla_333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,jb11937,sazerac,chapelbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,only_hearts_spirits,bourbonlovers,vancouver,manhattancocktail,whiskeylove,sazerac,straightwhiskey,cocktail,whiskey,bourbon,betterbourbon,calgarybourbon,yvr,vancouverdrinks,seattle,oldfashioned,yvrbourbon,cocktails,yyc,bourbonwhiskey,yvrdrinks,bar,calgary,2barspirits,,,,,,,
12,coco_sazerac,handsome,sazerac,beautymark,cat,dapperdude,catsinbowties,model,,,,,,,,,,,,,,,,,,,,,,,
13,tljames88,gumbo,sazerac,redbeansandrice,shrimpettoufee,poboy,wheninnola,muffaletta,eattheworld,crawfish,,,,,,,,,,,,,,,,,,,,,
14,basicbarman on Insta,absinthe,sazerac,cocktailsathome,diycocktails,,,,,,,,,,,,,,,,,,,,,,,,,,
15,socalwineandspirits,macallan,bourbon,singlemalt,socal,irvine,motivation,wine,rare,limitededition,scotch,tustin,happiness,craftbeer,oc,blantons,liquor,sazerac,socalws,orangecounty,yamazaki,lagavulin,instagram,wcw,whisky,hibiki,new,orange,whiskey,,
16,melbournesupperclub,classiccocktail,melbournecocktails,cocktail,sazerac,melbournefoodies,,,,,,,,,,,,,,,,,,,,,,,,,
17,kurbxstomp on Instag,sazerac,sazeraccompany,whiskey,eaglerare,buffalotracedistillery,bourbon,eaglerare10,kentuckystraightbourbonwhiskey,buffalotrace,,,,,,,,,,,,,,,,,,,,,
18,cheilig,porkrinds,bourbon,happyhour,oldfashioned,sazerac,grill211,,,,,,,,,,,,,,,,,,,,,,,,
