,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,shonitar on Instagra,fatherof4,mydaddy,mcm,uptownways,hesacoolguy,proudpoppop,ehs,,,,,,,,,,,,,,,,,,,,,,,
1,thestylinglounge_,gothealthyhair,philly,greathairday,turnitup,comegetthespecifics,healthyhairbenefits,souptown,stillcuteinthemorning,beautyispain,downtownvibesphilly,happymonday,glowup,uptownways,dopehair,prettygirlsrock,softhair,phillyhairstylists,getupandgetit,beautifulgirls,phillygirls,beautifulhairstyles,gethealthyhair,beautifulflowyhair,girlsrock,,,,,,
2,thestylinglounge_,hairstylists,makeshithappentoday,thestylinglounge_,phillyphlair,dababy,dontletitrunyou,runthedamnday,makeitcount,getthespecifics,tyga,getoverit,phillyhairstylist,phillyhair,uptownways,phillylove,gotthespecifics,hairspecifics,itshumpdayallday,downtownvibin,travelingstylist,dahell,phillyjawns,takethat,wednesdayheadache,,,,,,
3,thestylinglounge_,givewhatyouget,downtownvibin,periodddddd,hairgrowth,beautiful,love,allday,nocap,stylists,facts,majorfacts,getthespecifics,hairspecificshair,phillylove,phillyfashion,gotthespecifics,uptownways,,,,,,,,,,,,,
4,thestylinglounge_,majorfacts,ballout,myheart,nocap,yupworksforme,mcm,mylove,dababy,younginandnip,yourstillmybaby,myyoungin,classickid,hesheavy,boysrocktoo,mysonshine,uptownways,nogirlfriendstilyoure50,,,,,,,,,,,,,
5,thestylinglounge_,uptownways,gotthespecifics,atlhair,outwithabang,nyhair,beautifulhair,getthespecifics,phillyphlair,thestylinglounge_,phillygirls,phillylove,selfiesundayz,treatyourhair,phillyways,freshhair,miamihair,phillyjawns,lahair,phillyhairstylists,softhair,happy2020,beautifulhairstyles,,,,,,,,
6,thestylinglounge_,body,gethealthyhair,miahair,flowyhair,beautifulhairstyles,styleoftheday,glowup,girlsrock,beautifulflowyhair,uptownways,phillyhairstylists,extensionsfordays,hairstyles,phillyhair,bodified,cayute,atlhair,fullweave,nyhair,dopehair,downtownvibes,essence,essential,lahair,phillyphlair,extensionspecialists,hairspecifics,beachwavescurls,naturallookingextensions,getthespecifics
7,thestylinglounge_,downtownvibes,flowyhairstyles,thestylinglounge_,gotthespecifics,nyhair,uptown,miamihair,uptownways,phillyhairstylists,getthelooks,doobies,beautifulhair,getthespecifics,rollersets,winterhairstyles,lahair,phillyphlair,getthemovement,bigrollers,softandflowy,atlhair,healthylooks,,,,,,,,
8,thestylinglounge_,sleekstyles,shrinkageisdope,healthyhairagain,gothealthyhair,sundayfunday,flowup,getthespecifics,body,hairspecificshair,softhair,beautifulhairstyles,shesanatural,downtownvibin,nochemicalhair,hairthatflowsonly,flowyhairstyles,healthyhairgoals,souptown,uptownways,gethealthyhair,healthystrandsareamust,powersundays,,,,,,,,
9,thestylinglounge_,tintedbrows,travelingstylist,microbladedbrows,miaartists,phillyphlair,phillyartists,downtownvibes,atlartists,thesierraway,ombrebrows,getthespecifics,thestylinglounge,microbladingtrained,straightbrows,lowarch,powderbrows,uptownways,certifiedbrowartist,microshadingtrained,prettybrows,laartists,gotthespecifics,higharch,nyartists,microshadedbrows,phillystylists,,,,
