,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,carmy.lu,goldglasses,itsabouttime,visittucson,tucsoncocktails,bf5s,downtowntucson,47scott,cantmakeoldfriends,barphotography,🐏,lovewhereyoulive,coastalglasses,co08,sweaterseason,tucsonnightlife,arizonatravel,lovemycity,fancycocktails,kamdhillon,oaxacanoldfashioned,tucsonbars,theoldpueblo,tucsondranks,cyridge,traveltucson,520,crhs,tucson🌵,🍹,tucsonwinter
1,republiquela,seasonalcocktails,oaxacanoldfashioned,labars,republiquebar,farmtotable,mezcalcocktails,republiquela,restaurantbars,eltesororeposado,sneakerzimmer,craftcocktails,losangelesbars,,,,,,,,,,,,,,,,,,
2,cacaomexicatessen,nelacantina,oaxacanoldfashioned,cocktails,happyhour,margaritas,oldfashioned,,,,,,,,,,,,,,,,,,,,,,,,
3,tortillamejia,oaxacaoldfashioned,deathandco,deathandcobook,oaxacanoldfashioned,oaxaca,,,,,,,,,,,,,,,,,,,,,,,,,
4,bamboosushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cocktailcavalier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cocktail_maven,cocktails,tequila,barreaders,oldfashioned,craftcocktails,imbibe,mixology,foodandwine,imbibegram,mexico,reflection,nationalmezcalday,mezcal,supercall,liqpic,homebartender,boozytalk,drinkstagram,delish,thirsty,happyhour,tucson,buzzfeast,oaxacanoldfashioned,phoenix,oaxaca,,,,
7,lascatrinasnyc,tapasbar,oaxacanoldfashioned,springishere,craftcocktails,queenseats,craftmixology,broadwayastoria,mexicanfood,cocktailsofinstagram,nyceats,tequila,astoria,lascatrinasnyc,queensny,sugarskull,mezcal,astoriany,oldfashionedcocktail,weheartastoria,nyc,bartendersofastoria,,,,,,,,,
8,the.camino,oaxacanoldfashioned,stirandsip,cocktailhour,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dr_chimera,yoda,losangeles,republique,travelinggnome,strawberrytiramisu,oaxacanoldfashioned,,,,,,,,,,,,,,,,,,,,,,,,
10,orlandowski,agavesyrup,cocteles,mezcal,oaxacanoldfashioned,angosturabitters,cocktails,aztecchocolatebitters,tequila,oldfashioned,,,,,,,,,,,,,,,,,,,,,
11,therealkittyremix,oaxacanoldfashioned,thezigzagcafe,cocktails,bar,tequila,,,,,,,,,,,,,,,,,,,,,,,,,
