,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,bykwa_a,houston,портрет,art,distilling,バラ,portrait,хьюстон,ウィスキー,バーボン,버번,bourbon,barrel,위스키,yellowrosedistilling,tx,wisky,ヒューストン,장미,виски,yellowrosewhiskey,휴스턴,lifeinusa,производство,сша,whiskey,yellowrose,usa,
1,gahee_bartender,bar,칵테일,재즈공연,싱글몰트,한남동재즈바,cocktail,한남동,버번스트릿,bourbonst,버번,신가희바텐더,bartender,한남동바,livejazz,라이브재즈,jazzbar,위스키,재즈바,한남오거리,whiskey,,,,,,,,
2,gahee_bartender,bar,굴,재즈바,한남동재즈바,livejazz,굴구이,뉴올리언스,버번스트릿,bartender,위스키,싱글몰트,한남오거리,버번,라이브재즈,cocktail,재즈공연,한남동바,피자,bourbonst,석화,한남동맛집,칵테일,whiskey,굴피자,jazzbar,한남동,검보,
3,gahee_bartender,한남동재즈바,cocktail,버번,칵테일,버번스트릿,쉐프,whiskey,매니저,라이브재즈,한남오거리,재즈바,한남동바,싱글몰트,사장님,bar,bourbonst,한남동,위스키,jazzbar,bartender,재즈공연,livejazz,,,,,,
4,dlsrjd2,jazzclub,knobcreek,만취,bar,whisky,이태원술집,술스타그램,bourbon,부기우기,music,버번,경리단길,jazzbar,boogiewoogie,,,,,,,,,,,,,,
5,garou_psw,whisky,jimbeam,술스타그램,jimbeamblack,ジムビム,whiskeycocktail,칵테일,カクテル,홈메이드칵테일,짐빔블랙,짐빔,instacocktail,whiskey,バーボン,cocktail,맨하탄,bourbon,americanwhiskey,manhattan,bourbonwhiskey,맨하탄칵테일,cocktailgram,manhattancocktail,ウイスキー,instaalchol,버번위스키,위스키,버번
6,wsuesuew on Instagra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,stubborn.restaurant,레스토랑,이태리와인,강남,그릇,비스트로,뉴아메리칸,맛있는,블링블링,인테리어,캐쥬얼,멜팅팟,고집스런,프렌치,버번,칠레와인,뉴욕,다이닝,와인,식당,역삼,스터번,컨템포러리,분위기좋은,프랑스와인,스페인와인,등등,,
8,sssssubbbbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,lololo_cl,cubancigars,싱글몰트,edithpiaf,fourroses,루프탑,quaidorsay,직원회의,bobmarley,버번,연남동,lp,,,,,,,,,,,,,,,,,
10,microlot_coffee,버번,인천방통대카페,키부벨트,인천시청카페,르완다,마랏,마이크로랏카페,스페셜티,무룬도,,,,,,,,,,,,,,,,,,,
11,ckye_23,fff,버번,아이폰,강아지,귀여워죽겠네,셀카,안녕,xsmax,힐링,버번카페,사진,익산,카페,일상,너무좋아,좋아요,후하후하,,,,,,,,,,,
12,sulsultalk,헤븐힐,핸리맥케나,위스키,맥주,술스타그램,크래프트비어,술술토크,싱글몰트,스카치,버번,,,,,,,,,,,,,,,,,,
13,sulsultalk,스카치,맥주,술술토크,싱글몰트,술스타그램,위스키,버번,크래프트비어,바틀로직,,,,,,,,,,,,,,,,,,,
14,sulsultalk,위스키,버번,술술토크,크래프트비어,버번카운티,술스타그램,싱글몰트,스카치,맥주,,,,,,,,,,,,,,,,,,,
15,sindong_bourbon,익산,대학로버번,bourbon,원대,군산,전주카페,대학로,신동버번,대학로카페,원보전,익산맛집,selfie,원광대,신동카페,익산카페,전주,daily,insta,익산버번,군산카페,instacafe,버번,신동,dailylook,,,,
16,ji.s2,버번,강아지,익산카페,,,,,,,,,,,,,,,,,,,,,,,,,
17,rolloa83 on Instagra,일상스타그램,우드포드,데일리,일상,안좋아,맛스타그램,술스타그램,버번,참고로,저는,먹스타그램,위스키,버번을,먹방스타그램,,,,,,,,,,,,,,
18,brian_j_nam,bourbonwhiskey,위스키커피,버번,whiskeyagedcoffee,주말은모닝커피가진리,,,,,,,,,,,,,,,,,,,,,,,
19,jnk_ch,wine,버번,맥주,천연맥주,싱글몰트,,,,,,,,,,,,,,,,,,,,,,,
20,gm_food_onmade,천연맥주,wine,싱글몰트,맥주,버번,,,,,,,,,,,,,,,,,,,,,,,
