,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,style_of_rosie,blackpink,rosé,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amaretto_korea,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beautiful20s,좋아요반사,카페처돌이,맞팔소통,icecreamlover,좋반,소통해요,좋아요그램,amaretto,giolitti,지오리띠,리조,삼성역,아이스크림귀신,오늘의훈녀,혼자서도잘놀아요,쌀아이스크림,좋반테러,아마레또,icecream,젤라또,gelato,🍦,파르나스몰,lizzo,오늘의스트레스해소,,,,,
3,amaretto_korea,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,zz_zzina,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lh_m_2,데일리룩은아마레또,3시간불태우고나옴,나오나안나오나궁금하면검색해보기,아마레또,롯데월드,녹색창에,,,,,,,,,,,,,,,,,,,,,,,,
6,lh_m_2,amaretto_update,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,model_sera,bluemountain,아마레또,안면도까페,coffeeday,amaretto,루멘,태안까페,아로마향초,신두리까페,커피데이,lumen,블루마운틴,루멘향초,오션인,,,,,,,,,,,,,,,,
8,beautiful20s,좋아요테러,삼성역,좋반테러,웃어라,큰입,엽사,젤라또,귀여워,댓글환영,mouth,삼성동,입큰셀피,웃으세요,🍦,lizzo,리조,귀척,아마레또,giolitti,좋아요그램,mouthfull,파르나스몰,지올리띠,좋아요꾹,amaretto,피식,웃으면,gelato,아이스크림,쌀아이스크림
9,t.h.o.f.t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,amaretto_korea,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,amaretto_korea,당일발송,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,amaretto_korea,amaretto_update,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,eunhak_kim,탱커레이,바카디,더사야하는데,지갑이위험해,아마레또,트리플섹,준비중,레드라벨,홈텐딩,칵테일,98,홈바,앱솔루트,가난한,23,호세쿠엘보,군바리,,,,,,,,,,,,,
14,amaretto_korea,아마레또,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
