,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,chaegbar,연희동,압생트,책바,다자이오사무,인간실격,,,,,,,,,,,,,,,,,,,,,,,,,
1,chaegbar,압생트,연희동,러빙빈센트,책바,빈센트빈센트빈센트반고흐,,,,,,,,,,,,,,,,,,,,,,,,,
2,s_o_vely,atelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,shawtybella,체코,악마의술,absinth,녹색의요정,술,고흐,압생트,프라하,,,,,,,,,,,,,,,,,,,,,,
4,snikes2,압생트,이태원,경리단길,술스타그램,테라스,추석,명절,리큐르,반고흐,,,,,,,,,,,,,,,,,,,,,
5,orot.company,여유,미녀들,깔루아밀크,칵테일,음악,f4l,향기로운,3년전,특전사,리조트,f4f,행복,눈빛으로,맞팔100,불빛,uae,외국,에서는,어느덧,수영장,😎,압생트,말한다,따스함,입은,따사로운,팀장,비키니를,선팔100,아랍
6,prnprn_jmlee,알콜,일상,맞팔환영,absinthe,취한다그램,주스타그램,지름신,대동여주도,drinks,취스타그램,술스타그램,daedongyeojudo,와인앤모어,낮술,술,애주가,니술냉가이드,팔로우환영,친구해요,혼술,압생트,알콜스타그램,liquor,술스타,소통,팔로우미,,,,
7,2nd_imagination on I,이탈리안,청담,분더샵,앱신트,liqueurs,france,italian,리스토란테,레스토랑,초록색요정,vangogh,압생트,루브리카,ristorante,absente,반고흐,프랑스,rubrica,리큐르,,,,,,,,,,,
8,jay_j_kim,발렌타인데이,high,압생트,absinthe,mixology,roller,,,,,,,,,,,,,,,,,,,,,,,,
9,snowinsun,absinthe,생트스타그램,다리는뭔데,어디서자냐고,압생트,냥스타그램,다묘집사님들정말대단,자리싸움,생트,,,,,,,,,,,,,,,,,,,,,
10,dalcom.js,훈제연어,스테이크,고흐,터번,달콤브로우일상,서면맛집,달콤브로우,selfie,칵테일,소고기,사보이,서면터번,압생트,서면핫플,daily,채끝살,논알콜,맛집발견,고흐술,서면,고흐그림,,,,,,,,,
11,the_red_lounge_pub,압생트,광안리술집,더레드,광안리펍,,,,,,,,,,,,,,,,,,,,,,,,,,
12,bottle_re,진,양주,사이다,보드카,꼬냑,와인,술,기록,백주,압생트,칵테일,막걸리,기록스타그램,럼,전통주,사케,브랜디,데낄라,맥주,술스타그램,위스키,리큐르,소주,,,,,,,
13,bottle_re,술스타그램,맥주,위스키,럼,보드카,진,압생트,술,백주,칵테일,사이다,브랜디,꼬냑,전통주,기록,리큐르,와인,소주,양주,데낄라,막걸리,기록스타그램,사케,,,,,,,
14,Null,압생트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,bottle_re,사이다,술스타그램,소주,맥주,막걸리,칵테일,진,술,럼,기록,위스키,백주,리큐르,양주,사케,브랜디,와인,압생트,데낄라,보드카,기록스타그램,전통주,꼬냑,,,,,,,
16,snowinsun,압생트,생트,가만히좀있지,absinthe,냥스타그램,생트스타그램,망한고양이사진대회,,,,,,,,,,,,,,,,,,,,,,,
17,gwan_96,našemaso,일본이성진국,핵존맛탱구리jmt꼭드세요,나멋잇나hoxy,나안무거운데표정왜저러냐😑,여행,압생트,프라하성스타벅스,prague,생각보다시시,분짜첫도전,화장품맛🤢🤮,remember,데일리,smm,요새는5층클럽보다여기가낫다는민박스텝님추천,레넌벽,일상,4명이서6인분77ㅓ억,게으른자식들,70도희석시켜서마신대,산책하다가있길래,드라이에이징버거,유럽,클럽duplex,화장실비번,고흐가반한술,ㄹㅇ인생버거,성공적,7103샾
18,snowinsun,옴마내려가고시따옹,absinthe,생트스타그램,옴마재미따옹,생트,압생트,냥스타그램,빨래잘널었냐옹,,,,,,,,,,,,,,,,,,,,,,
19,s2_kuru_s2,칵테일,일상,연남동,33yucon,홍대칵테일바,압생트,33유콘,,,,,,,,,,,,,,,,,,,,,,,
20,clark11131113,압생트,녹색의요정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
