,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,bikekenwhisky,whiskers,whiskeygirl,speyside,glendronach,ウイスキー,sherrybutt,caskstrength,whiskyporn,威士忌,bartender,pxcask,whisky_droid,whiskeysour,scotland,oloroso,bar,highlands,instadram,glendronachcaskstrength,scotch,bikekenwhisky,whiskygram,instawhisky,バー,위스키,whiskeybar,sherrybomb,instagram,,
1,shelter_lab,cozy,와인,original,바,jazz,대전싱글몰트,둔산동,더쉘터,팀쉘터,위스키,칵테일,cocktails,클래식,bartender,봉명동,classic,바텐더,nightworkers,박현욱바텐더,대전,gentle,둔산동혼술,둔산동칵테일,,,,,,,
2,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,houseofmalt,scotchwhisky,scotch,ウイスキー,instadram,ardbegprovenance,singlemalt,whisky,macallan,whiskylover,bourbon,whiskygram,whiskyshop,dram,talisker,whiskey,ardbegwhisky,springbank,lagavulin,islaywhisky,威士忌酒,위스키,whiskyonline,instawhisky,limitededition,ウィスキー,ardbeg,islay,,,
4,bar_teascent,티센트,청담동바,barteascent,tea,바티센트,티소믈리에,cocktail,찻집,티칵테일,위스키,티스타그램,청담바,칵테일,teacocktail,,,,,,,,,,,,,,,,
5,vocal_sb,마산,위스키,커리,하이볼,치킨,합천,산토리,,,,,,,,,,,,,,,,,,,,,,,
6,xxhyezz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sociedad_whisky,michters,whiskyporn,americanwhiskey,instadram,instawhisky,booze,cheers,위스키,whiskeyporn,bourbonporn,버본,liquor,whiskygram日本,ウイスキー,imbibe,instawhiskey,bourbonwhiskey,kanpai,bourbongram,술스타그램,whiskey,버본위스키,michterswhiskey,brownforman,sociedad_whisky,thursdaydrinks,oldforester,drinkup,bourbon,whisky
8,sociedad_whisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,papasalon,몰트위스키,파주위스키,교하,파주맛집,파주칵테일,운정맛집,운정,파주술집,싱글몰트위스키,교하중심상가,cocktail,singlemaltwhisky,싱글몰트바,singlemalt,교하맛집,maltwhisky,bartender,싱글몰트,바텐더,파파살롱,싱글몰트위스키바,singlemaltwhiskybar,칵테일,papasalon,whisky,파주,위스키,,,
10,bar_insomnia_officia,문정동와인바,혼술,파크하비오,barinsomnia,바인썸니아,인썸니아,문정동혼술,문정동칵테일,kavalansolistsherrycask,재즈바,문정동바,문정동몰트바,문정동싱글몰트,insomnia,맥주,singlemaltbar,jazz,칵테일,bar_insomnia,maltbar,문정동위스키,문정동맥주,문정동,싱글몰트,뮤직바,musicbar,위스키,와인,송파,
11,euljiro_sogyumo,을지로3가와인bar,힙지로와인bar,을지로맛집,병맥주,을지로회식,을지로대관,을지로3가와인바추천,을지로와인,와인바대관,만선호프,을지로와인bar,힙지로와인바추천,위스키,칵테일,힙지로와인바,직장회식장소추천,을지로와인바추천,소개팅장소추천,소규모와인bar,을지로3가와인바,을지로술집,을지로와인바,회식,소규모와인바,데이트장소추천,만선호프옆집,와인,만선호프근처,,
12,yanghwa_cafe_bar,bar,드립커피,picklebeer,테이크아웃,커피,whisky,피클맥주,미술,handdrip,카페양화,진토닉,art,합정바,yanghwa,맥주,필터커피,gintonic,filtercoffee,양화,cafe,coffee,위스키,hapjeong,,,,,,,
13,cero._miedo,경리단길,좋아요,beer,맥주,술스타그램,먹스타그램,불금,일상,life,맞팔,위스키,남산케미스트리,daily,양주,소통,,,,,,,,,,,,,,,
14,svsva11,위스키,신촌호빠,경리단길,남자도우미,홍대호빠,그린라이트,이태원핫플,홍대가볼만한곳,홍대엠투,한신포차,연남동핫플,합정핫플,홍대클럽,삼거리포차,이태원호빠,남보도,여성전용클럽,홍대핫플,강남호빠,신림호빠,영등포호빠,이태원클럽,,,,,,,,
15,yomnyomnyum on Insta,광안리,부산,광안리술집,칵테일바,위스키,위스키바,광안리바,광안리맛집,부산맛집,,,,,,,,,,,,,,,,,,,,,
16,Null,용상레옹,안동애견동반술집,바,안동맛집,칵테일,수제맥주,안동여행,펍,혼술,카페,안동애견동반카페,안동레옹,위스키,보드카,용상맛집,안동혼술,용상술집,pub,안동술집,안동펍,용상카페,bar,안동,cafe,안동카페,애견동반가능,,,,
17,realhodubyman,크림파스타,파스타,오일파스타,요선동맛집,춘천맛집,cocktails,pub,마이스,대관문의,위스키,춘천분위기좋은카페,감바스,파티,요선동,복합문화공간,다이닝,춘천여행,낮술,whisky,파티룸,한잔,춘천,칵테일,대관,음식,맥주,커피,음악,타투,
18,so.mok.ro,히비키,숙성사시미,디지털미디어시티,디엠씨맛집,사케,숙성회,소목로,멘보샤,사시미,맛집,전갱이,하이볼,디미씨맛집,상암맛집,상암,가츠산도,한라산,산토리,디미씨,디엠씨,위스키,무국적술집,새조개,dmc,무국적,,,,,
19,starvinggigolo,위스키,ローズバンク,scotch,로즈뱅크,whisky,whiskey,rosebank,威士忌,羅斯班克,ウィスキー,starvinggigolo,lowland,,,,,,,,,,,,,,,,,,
20,to.m83,송파바틀샵,송파,수입맥주,맥주한잔이맛있는,카페,위례카페,위례핫플,데이트코스,신상입고알림⭐️,혼술,와인,바틀샵,위례펍,m83,위례맛집,위례신도시,위례,위례맥주,하남,위례와인,expatriate_ipa,성남,m83오늘도시작합니다,젊은이들의플랫폼m83,위례바틀샵,업데이트안내,분위기깡패,위스키,,
21,to.m83,위례펍,위례와인,바틀샵,와인,위례카페,송파바틀샵,위례맥주,위례바틀샵,위례신도시,업데이트안내,맥주한잔이맛있는,수입맥주,신상입고알림⭐️,혼술,위례,m83,위스키,젊은이들의플랫폼m83,성남,하남,m83오늘도시작합니다,위례맛집,송파,위례핫플,데이트코스,can_o_bliss_citrus_ipa,분위기깡패,카페,,
22,to.m83,위례펍,송파,맥주한잔이맛있는,신상입고알림⭐️,위례신도시,위례맛집,성남,바틀샵,위스키,카페,m83,위례핫플,위례,수입맥주,젊은이들의플랫폼m83,m83오늘도시작합니다,하남,업데이트안내,분위기깡패,와인,송파바틀샵,위례카페,혼술,위례바틀샵,deep_ellum_ipa,데이트코스,위례와인,위례맥주,,
