,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,Null,테킬라,얼글,좋은가사,사진스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ottootto_0804 on Ins,술,맞팔,일상스타그램,좋반,아네호,소통,좋반튀,라운지,안주,나이든,술안주,내일부터,술스타그램,실버,금주,보드카,청담핫플,인친,절친들,바스타그램,청담바,테킬라,팔로우,불금,칵테일,선팔,트웰브,패트론,일상,
2,melljae_nail,넬스타그램,가을네일,instanails,심플네일,셀프네일,nails2inspire,가을색네일,セルフネイル,손스타그램,simplenails,秋ネイル,シンプルネイル,notd,nailstagram,,,,,,,,,,,,,,,,
3,its_georgina on Inst,미녀,핼러윈,밤,테킬라,밴쿠버,주말,88라이징,친구랑,맞아,피곤해,concert,tequilanight,88rising,좋은주말,콘서트,끝,,,,,,,,,,,,,,
4,rlagudfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,saitoceo,데스페라도스,despersdos,alc,상쾌한,네델란드맥주,맛,프랑스맥주,과일향맥주,네델란드,맥주,하이네캔,맥주회사,데낄라,세계맥주,tequila,맛있,데킬라,라임향,테킬라,beer,편의점맥주,캔맥,데낄라맥주,,,,,,,
6,april_jy_ on Instagr,포인트,테킬라,셀프네일,네일,point,모디,glitter,selfnail,글리터,chocolate,nail,nails,modi,,,,,,,,,,,,,,,,,
7,Null,술담화,이제알고마시자,월드컵,대한민국,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Null,술담화,테킬라,한국술,이제알고마시자,,,,,,,,,,,,,,,,,,,,,,,,,,
9,whiskycricket,tequilahonor,jalisco,데킬라,mexico,onetequilatwotequilathreetequilafloor,donjulioreposado,donjuliotequila,donjulio1942,tequilatequila,증류주,테킬라,블루아가베,멕시코,돈훌리오레포사도,tequila,할리스코,데낄라,donjulio,아가베,스피릿,tequilas,증류주스타그램,돈훌리오,,,,,,,
10,adbombhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,radio_killer062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
